@relation 'Libras Movement.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 numeric
@attribute att201 numeric
@attribute att211 numeric
@attribute att221 numeric
@attribute att231 numeric
@attribute att241 numeric
@attribute att251 numeric
@attribute att261 numeric
@attribute att271 numeric
@attribute att281 numeric
@attribute att291 numeric
@attribute att301 numeric
@attribute att311 numeric
@attribute att321 numeric
@attribute att331 numeric
@attribute att341 numeric
@attribute att351 numeric
@attribute att361 numeric
@attribute att371 numeric
@attribute att381 numeric
@attribute att391 numeric
@attribute att401 numeric
@attribute att411 numeric
@attribute att421 numeric
@attribute att431 numeric
@attribute att441 numeric
@attribute att451 numeric
@attribute att461 numeric
@attribute att471 numeric
@attribute att481 numeric
@attribute att491 numeric
@attribute att501 numeric
@attribute att511 numeric
@attribute att521 numeric
@attribute att531 numeric
@attribute att541 numeric
@attribute att551 numeric
@attribute att561 numeric
@attribute att571 numeric
@attribute att581 numeric
@attribute att591 numeric
@attribute att601 numeric
@attribute att611 numeric
@attribute att621 numeric
@attribute att631 numeric
@attribute att641 numeric
@attribute att651 numeric
@attribute att661 numeric
@attribute att671 numeric
@attribute att681 numeric
@attribute att691 numeric
@attribute att701 numeric
@attribute att711 numeric
@attribute att721 numeric
@attribute att731 numeric
@attribute att741 numeric
@attribute att751 numeric
@attribute att761 numeric
@attribute att771 numeric
@attribute att781 numeric
@attribute att791 numeric
@attribute att801 numeric
@attribute att811 numeric
@attribute att821 numeric
@attribute att831 numeric
@attribute att841 numeric
@attribute att851 numeric
@attribute att861 numeric
@attribute att871 numeric
@attribute att881 numeric
@attribute att891 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
0.82989,0.52978,0.83066,0.54375,0.82876,0.5283,0.82798,0.55975,0.82259,0.50477,0.79302,0.43037,0.7366,0.3758,0.64418,0.35577,0.53991,0.37501,0.42179,0.41215,0.35322,0.46255,0.30325,0.55082,0.3125,0.53827,0.30149,0.77747,0.29957,0.80845,0.2963,0.75595,0.27778,0.55161,0.33995,0.38461,0.47804,0.31334,0.62134,0.35831,0.73614,0.25817,0.81359,0.40268,0.85085,0.53355,0.89078,0.58917,0.90499,0.5678,0.90345,0.55192,0.89066,0.62258,0.85649,0.45283,0.78132,0.33023,0.68941,0.30247,0.54066,0.31693,0.41051,0.39067,0.29742,0.45226,0.22302,0.51541,0.21064,0.60231,0.19546,0.70679,0.22055,0.75903,0.22385,0.71466,0.22013,0.71958,0.2021,0.81155,0.18669,0.73313,0.21444,0.61144,0.31365,0.53353,0.43565,0.46916,0.52918,0.45647,1
0.88735,0.60502,0.89015,0.59999,0.89269,0.59434,0.88991,0.58491,0.87789,0.55556,0.86047,0.51266,0.81352,0.46816,0.72093,0.37501,0.64788,0.4391,0.56872,0.4409,0.4821,0.46255,0.41899,0.49836,0.41164,0.48724,0.39278,0.67887,0.37285,0.73521,0.34422,0.79465,0.32408,0.80322,0.28784,0.72241,0.31525,0.62333,0.38933,0.51466,0.52506,0.48367,0.65239,0.46644,0.73838,0.4698,0.8131,0.44268,0.88124,0.47175,0.91494,0.51913,0.92939,0.65806,0.93394,0.65094,0.91571,0.61371,0.88941,0.54939,0.81817,0.47384,0.72793,0.48397,0.63701,0.53652,0.53956,0.53221,0.45371,0.53314,0.375,0.54012,0.35761,0.57229,0.32846,0.55759,0.2914,0.6164,0.25684,0.769,0.22317,0.80981,0.24628,0.78012,0.32179,0.71138,0.39803,0.55764,0.50778,0.51715,1
0.23679,0.21944,0.24943,0.2125,0.25571,0.20126,0.27523,0.18239,0.32027,0.14921,0.39535,0.12025,0.51282,0.11465,0.64652,0.15064,0.76291,0.24038,0.85545,0.38659,0.91647,0.54398,0.93056,0.68852,0.9375,0.61735,0.93418,0.79155,0.93535,0.8,0.92156,0.7738,0.90047,0.64516,0.8139,0.47826,0.71577,0.34,0.592,0.24105,0.47757,0.1536,0.37531,0.10403,0.25916,0.14765,0.16505,0.22611,0.13776,0.24012,0.15402,0.23224,0.16857,0.25484,0.21184,0.22328,0.29157,0.16511,0.40942,0.1358,0.55262,0.13231,0.71599,0.25948,0.83372,0.41011,0.92086,0.53781,0.94907,0.63401,0.93181,0.67592,0.92505,0.65964,0.89331,0.55759,0.84906,0.47354,0.77473,0.41945,0.67811,0.30061,0.5881,0.22891,0.49491,0.19242,0.39803,0.20107,0.30934,0.24538,1
0.14023,0.1536,0.15332,0.14062,0.1621,0.15408,0.20413,0.13209,0.29033,0.12699,0.40466,0.1519,0.51514,0.21656,0.58837,0.33333,0.63145,0.47756,0.64692,0.60703,0.65155,0.71988,0.66204,0.78033,0.68319,0.65816,0.6879,0.7831,0.67027,0.70422,0.62309,0.5744,0.56019,0.37418,0.43176,0.19398,0.30233,0.09,0.16001,0.04234,0.06069,0.02288,0.02519,0.03692,0,0.10403,0,0.09873,0.03563,0.07627,0.09195,0.03825,0.15262,0.03226,0.21184,0.04089,0.31435,0.04362,0.43529,0.09877,0.54545,0.1877,0.63723,0.36443,0.68853,0.51686,0.72422,0.61625,0.73843,0.683,0.71136,0.70679,0.69592,0.63855,0.67783,0.51832,0.64151,0.44445,0.56211,0.38602,0.4485,0.28221,0.32696,0.24699,0.23422,0.24198,0.17624,0.23324,0.14008,0.2401,1
0.12874,0.21003,0.13044,0.20625,0.13242,0.21069,0.12615,0.2107,0.13594,0.19366,0.21395,0.17722,0.331,0.16241,0.43721,0.20193,0.52348,0.28847,0.60426,0.40895,0.66349,0.55701,0.71528,0.68525,0.74569,0.62755,0.75797,0.79437,0.76078,0.81689,0.75381,0.8006,0.75232,0.7,0.68735,0.50836,0.59432,0.33,0.46133,0.22802,0.32453,0.16667,0.19647,0.1443,0.12225,0.19463,0.08981,0.21656,0.06888,0.20056,0.08736,0.194,0.10023,0.22581,0.12072,0.22957,0.16173,0.20873,0.24235,0.19136,0.37081,0.18462,0.51551,0.28279,0.63466,0.41293,0.71223,0.51821,0.76388,0.6196,0.78636,0.70679,0.80085,0.69578,0.79707,0.6335,0.78617,0.64021,0.75999,0.67173,0.70386,0.55829,0.64968,0.44579,0.58656,0.34695,0.48317,0.27614,0.3677,0.26649,1
0.15173,0.26959,0.1579,0.26563,0.1621,0.2673,0.16973,0.26416,0.21429,0.23809,0.28373,0.21835,0.38228,0.22611,0.47209,0.28526,0.53521,0.40065,0.59242,0.54313,0.64439,0.67753,0.69213,0.77049,0.72414,0.67347,0.73036,0.83662,0.72199,0.82253,0.69498,0.72321,0.65278,0.56128,0.54094,0.41472,0.41603,0.31334,0.28533,0.27361,0.17942,0.29085,0.09572,0.31879,0.06602,0.34899,0.0631,0.36306,0.07125,0.32769,0.09655,0.31968,0.10706,0.35161,0.14123,0.3239,0.20501,0.28661,0.29412,0.25927,0.39473,0.24923,0.51074,0.3586,0.60187,0.49719,0.67625,0.62745,0.74074,0.72911,0.75,0.78395,0.74732,0.73795,0.73222,0.61779,0.69811,0.54761,0.64421,0.5076,0.54936,0.39877,0.45647,0.33133,0.37067,0.30029,0.28911,0.32976,0.22374,0.39841,1
0.18391,0.22884,0.18764,0.22499,0.18493,0.22956,0.19725,0.2107,0.23272,0.18731,0.28838,0.16456,0.36596,0.16561,0.43721,0.20193,0.50704,0.2532,0.57583,0.34186,0.63484,0.45603,0.68982,0.58688,0.73491,0.58419,0.75159,0.79718,0.75646,0.81972,0.75163,0.80357,0.75001,0.74516,0.69479,0.63211,0.62791,0.49334,0.53867,0.36807,0.44591,0.26144,0.33248,0.19128,0.21271,0.19463,0.12379,0.22293,0.09739,0.21186,0.10575,0.21312,0.10706,0.26129,0.11845,0.24529,0.12756,0.23053,0.15294,0.23457,0.20095,0.21539,0.30549,0.2653,0.41687,0.31179,0.52518,0.36134,0.62731,0.44956,0.70227,0.54321,0.77087,0.6024,0.78452,0.56282,0.77359,0.58201,0.74737,0.70213,0.70172,0.65644,0.63907,0.54819,0.57842,0.43149,0.49901,0.34048,0.40467,0.30871,1
0.1908,0.19436,0.20137,0.19687,0.20092,0.19497,0.20184,0.18554,0.25807,0.16826,0.34419,0.14873,0.45687,0.17197,0.56745,0.25961,0.65728,0.37179,0.70853,0.53035,0.74463,0.65799,0.77779,0.74098,0.78449,0.66836,0.78769,0.82816,0.7888,0.82535,0.79085,0.7619,0.78473,0.69032,0.72705,0.5485,0.63825,0.4,0.51199,0.28339,0.37467,0.20589,0.25189,0.18457,0.14914,0.22148,0.10194,0.23248,0.10214,0.22033,0.11953,0.20765,0.12756,0.25484,0.15717,0.23271,0.20046,0.20873,0.28706,0.18519,0.41148,0.18155,0.56325,0.28279,0.69555,0.41573,0.80335,0.54901,0.85879,0.66283,0.86363,0.72839,0.85652,0.68975,0.84101,0.61779,0.82391,0.62962,0.78105,0.67173,0.71888,0.56441,0.6433,0.43674,0.56416,0.33819,0.47525,0.27346,0.37549,0.25593,1
0.71495,0.7837,0.69794,0.77188,0.6758,0.761,0.64908,0.74843,0.58987,0.71429,0.50931,0.68355,0.41259,0.68471,0.31628,0.71474,0.26056,0.72435,0.21564,0.76039,0.17183,0.8241,0.19213,0.83934,0.26724,0.67602,0.31422,0.80564,0.34052,0.77747,0.3769,0.74404,0.42825,0.68387,0.45906,0.65551,0.50905,0.65666,0.56267,0.6873,0.6306,0.71569,0.70024,0.75167,0.74816,0.76175,0.77427,0.80892,0.76721,0.726,0.76321,0.66667,0.74488,0.74516,0.70615,0.7044,0.63781,0.67289,0.5647,0.66667,0.4689,0.68,0.38663,0.7376,0.32084,0.7809,0.27578,0.79552,0.26158,0.81268,0.23636,0.83333,0.27409,0.78615,0.30334,0.67277,0.32495,0.66402,0.34526,0.72948,0.37768,0.68712,0.44161,0.6747,0.5275,0.6793,0.60198,0.68901,0.64396,0.70712,1
0.57472,0.86834,0.57665,0.86562,0.57534,0.87107,0.57339,0.87422,0.57374,0.88254,0.56047,0.87025,0.5338,0.85668,0.49535,0.83653,0.44601,0.80128,0.40048,0.76996,0.36038,0.76548,0.34491,0.7541,0.36422,0.6301,0.32484,0.80564,0.25431,0.8338,0.24836,0.80952,0.2801,0.74516,0.29032,0.6923,0.32042,0.69,0.37067,0.72313,0.46966,0.72876,0.56675,0.75504,0.64058,0.79194,0.68689,0.82485,0.69358,0.7373,0.69195,0.69125,0.67427,0.79355,0.64692,0.74213,0.58997,0.71028,0.51765,0.70679,0.42105,0.72,0.34368,0.75219,0.28338,0.76967,0.22781,0.79552,0.20601,0.82421,0.19772,0.87963,0.26124,0.79518,0.2887,0.67277,0.31656,0.64021,0.33684,0.73253,0.33262,0.7454,0.36943,0.76205,0.4277,0.75802,0.47525,0.73994,0.51362,0.72823,1
0.48276,0.7116,0.48741,0.70625,0.4863,0.71383,0.47936,0.7107,0.45622,0.69841,0.41395,0.6867,0.35897,0.67834,0.27907,0.68269,0.19249,0.69551,0.11612,0.67094,0.06683,0.70033,0.02084,0.80655,0.09913,0.66582,0.15499,0.7662,0.17888,0.72112,0.21568,0.67559,0.26389,0.58064,0.30272,0.48495,0.37468,0.42667,0.45067,0.41368,0.55673,0.4085,0.6675,0.44967,0.7335,0.56711,0.74757,0.57325,0.73871,0.49435,0.71264,0.43169,0.66059,0.46129,0.59681,0.43396,0.50797,0.44237,0.42824,0.49075,0.3421,0.55076,0.28401,0.65888,0.23653,0.75001,0.17745,0.79832,0.18056,0.79828,0.19772,0.7716,0.26552,0.68975,0.3159,0.56282,0.3522,0.5,0.38316,0.5228,0.41201,0.4908,0.47983,0.48494,0.56008,0.49563,0.61783,0.52815,0.65175,0.62533,1
0.63218,0.68339,0.63844,0.67812,0.63927,0.67925,0.62156,0.66353,0.54839,0.6254,0.46047,0.60126,0.38694,0.60191,0.31395,0.63141,0.24413,0.66667,0.18957,0.71247,0.14559,0.7557,0.15047,0.77377,0.20043,0.66582,0.23566,0.80564,0.25431,0.79155,0.2745,0.74404,0.28704,0.67742,0.27791,0.61204,0.28683,0.57667,0.30933,0.55375,0.38786,0.51961,0.4937,0.48323,0.58435,0.47987,0.64563,0.47771,0.71021,0.48588,0.75632,0.54645,0.7836,0.67742,0.78132,0.65409,0.76765,0.65109,0.73412,0.61111,0.6531,0.56307,0.57041,0.586,0.49415,0.61236,0.41966,0.63305,0.37499,0.6513,0.325,0.67592,0.32334,0.68072,0.30963,0.6466,0.28721,0.69047,0.26736,0.79028,0.24892,0.77914,0.27176,0.76507,0.32179,0.73761,0.3703,0.6622,0.42413,0.61214,1
0.59081,0.78057,0.59497,0.78125,0.59361,0.77987,0.59175,0.78302,0.58987,0.78731,0.55116,0.74367,0.48717,0.65924,0.38604,0.59935,0.26995,0.56731,0.15402,0.56869,0.0549,0.58632,0,0.67213,0,0.67857,0,0.87324,0,0.86479,0,0.80952,0,0.65483,0.00248,0.47157,0.05169,0.36,0.12267,0.3811,0.2533,0.38236,0.42317,0.40268,0.54279,0.48993,0.6335,0.55732,0.69596,0.64124,0.71034,0.64481,0.7016,0.75161,0.6902,0.68553,0.6492,0.56075,0.58117,0.50617,0.45933,0.43693,0.34845,0.47231,0.25761,0.5281,0.16546,0.59104,0.10185,0.6513,0.01818,0.68827,0,0.73795,0,0.68063,0,0.66666,0,0.71732,0.00644,0.65644,0.06794,0.53012,0.18329,0.41983,0.29307,0.38874,0.40467,0.41161,1
0.62759,0.75235,0.63158,0.74999,0.63014,0.75786,0.62615,0.76101,0.61981,0.75238,0.59534,0.72785,0.55244,0.6656,0.47675,0.60576,0.38028,0.56731,0.27488,0.56869,0.18138,0.61238,0.12963,0.65902,0.12284,0.60459,0.06157,0.85633,0.03879,0.94085,0.05011,0.8988,0.05093,0.80322,0.04218,0.66889,0.09303,0.55667,0.16533,0.47556,0.26912,0.4085,0.42317,0.4094,0.55989,0.47316,0.66019,0.5414,0.72208,0.64124,0.74023,0.6612,0.72893,0.76775,0.70615,0.72013,0.6697,0.65732,0.62589,0.60493,0.54545,0.55692,0.47972,0.60349,0.41452,0.63484,0.34532,0.62464,0.30556,0.61671,0.24773,0.62037,0.23982,0.62048,0.21757,0.61256,0.17819,0.67461,0.14315,0.81763,0.11802,0.81901,0.14437,0.78314,0.21996,0.69679,0.28119,0.57909,0.33463,0.52771,1
0.74023,0.3511,0.73456,0.35312,0.73744,0.35534,0.74541,0.35849,0.74885,0.3619,0.72791,0.36076,0.65035,0.34713,0.54884,0.33974,0.46009,0.32692,0.38625,0.33227,0.3222,0.34202,0.29631,0.3541,0.32112,0.33418,0.34183,0.46761,0.35992,0.46478,0.3987,0.4256,0.46065,0.35806,0.51117,0.32442,0.58657,0.32001,0.66667,0.33551,0.76517,0.3366,0.85138,0.33222,0.91197,0.34228,0.94417,0.34076,0.92637,0.30791,0.87126,0.29508,0.79043,0.34194,0.69932,0.32705,0.5877,0.33023,0.48941,0.35185,0.39234,0.36923,0.32458,0.43149,0.28103,0.48034,0.2542,0.49019,0.27315,0.47262,0.29318,0.42592,0.36831,0.37952,0.43515,0.34031,0.49686,0.34391,0.54737,0.40426,0.58584,0.41717,0.64543,0.44579,0.71079,0.46647,0.75644,0.46113,0.78599,0.46438,2
0.89655,0.39812,0.89931,0.39999,0.89955,0.39937,0.90138,0.39937,0.90092,0.40317,0.9,0.40506,0.88111,0.40446,0.82559,0.39744,0.75352,0.38142,0.67536,0.37381,0.59666,0.38112,0.53009,0.39344,0.49569,0.35969,0.44374,0.49578,0.39439,0.50422,0.36383,0.47619,0.36112,0.4387,0.36724,0.40803,0.42378,0.40667,0.50667,0.41694,0.61741,0.41504,0.72544,0.39934,0.81418,0.40269,0.89078,0.39809,0.95012,0.37006,0.9862,0.36885,0.99544,0.44194,0.97722,0.43081,0.91116,0.42991,0.84471,0.42901,0.7488,0.42769,0.65155,0.47814,0.55738,0.51686,0.47721,0.52101,0.41667,0.50433,0.35227,0.47221,0.34262,0.43373,0.33892,0.38743,0.35011,0.40741,0.37052,0.48025,0.39914,0.49386,0.46922,0.51205,0.55194,0.51895,0.61783,0.49865,0.67315,0.4934,2
