@relation 'Breast Tissue.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute class {car,fad,mas,gla,con,adi}

@data
0.05817,0.16852,0.13725,0.03698,0.00226,0.03933,0.02228,0.06647,0.05143,fad
0.05451,0.16095,0.09542,0.03595,0.00334,0.06047,0.02291,0.06592,0.05532,fad
0.03597,0.07316,0.34379,0.02172,0.00086,0.02229,0.00632,0.05088,0.03357,fad
0.09344,0.14934,0.28235,0.06698,0.00552,0.06123,0.04577,0.09712,0.08914,fad
0.06266,0.22856,0.13333,0.04229,0.00372,0.05955,0.0283,0.07088,0.05843,fad
0.08848,0.23007,0.26275,0.06265,0.00746,0.08939,0.04919,0.09039,0.09386,fad
0.02125,0.47578,0.43007,0.01683,0.00156,0.04672,0.05354,0.03042,0.02258,fad
0.07353,0.28153,0.19085,0.04308,0.005,0.07998,0.04923,0.06787,0.07605,fad
0.01928,0.46367,0.34641,0.01848,0.00198,0.05579,0.04173,0.03891,0.02159,fad
0.0152,0.31282,0.21046,0,0,0.01224,0.02374,0.01705,0.01277,fad
0.02781,0.45812,0.52288,0.02098,0.0024,0.06269,0.06488,0.03083,0.03281,mas
0.03411,0.3663,0.5085,0.01707,0.00148,0.04413,0.06319,0.02285,0.03883,mas
0.12313,0.18668,0.42614,0.09959,0.00729,0.05702,0.06871,0.12876,0.11121,mas
0.05451,0.1004,0.15033,0.04911,0.00088,0.00963,0.00265,0.08064,0.03871,mas
0.08769,0.09536,0.18039,0.06609,0.00149,0.01317,0.02769,0.09817,0.06596,mas
0.04931,0.32442,0.50196,0.02759,0.00095,0.02027,0.06549,0.04223,0.04329,mas
0.14033,0.19122,0.15425,0.05692,0.00621,0.08004,0.06064,0.08174,0.13599,mas
0.05525,0.27094,0.18301,0.0181,0.00243,0.06903,0.04104,0.03863,0.05617,mas
0.02578,0.33199,0.19608,0.01715,0.0007,0.02169,0.02652,0.042,0.01802,mas
0.00667,0.46771,0.29412,0.00459,0.00042,0.02656,0.03282,0.02012,0.00606,mas
0.03462,0.49294,0.39085,0.03347,0.00443,0.08526,0.06115,0.05253,0.04148,mas
0.09915,0.2669,0.12418,0.09224,0.0071,0.05963,0.05465,0.1236,0.08695,mas
0.05832,0.19273,0.18562,0.03753,0.00119,0.01919,0.02312,0.06617,0.04461,mas
0.16376,0.14834,0.1281,0.07774,0.00642,0.0628,0.05009,0.10725,0.15456,mas
0.07675,0.46922,0.43399,0.07555,0.01531,0.16143,0.0966,0.09579,0.09525,mas
0.06377,0.38951,0.3817,0.04485,0.00658,0.10293,0.0768,0.0625,0.07309,mas
0.06612,0.63572,0.94379,0.13244,0.03001,0.19699,0.08973,0.16232,0.09883,mas
0.08306,0.37185,0.28235,0.05419,0.00914,0.12461,0.08234,0.07299,0.09175,mas
0.13627,0.33249,0.24837,0.1251,0.01484,0.09907,0.09248,0.15378,0.13223,gla
0.04449,0.32291,0.2732,0.01288,0.00073,0.02682,0.05252,0.02251,0.046,gla
0.01817,0.44349,0.55033,0.01396,0.00014,0.00715,0.05445,0.02344,0.02007,gla
0.07416,0.14733,0.19869,0.0028,0.00018,0.01813,0.03238,0.01518,0.07096,gla
0.05451,0.21594,0.29804,0.00957,0.00063,0.02772,0.04245,0.02353,0.05598,gla
0.03485,0.34763,0.26275,0.01323,0.00194,0.06553,0.04444,0.02942,0.03854,gla
0.03485,0.34763,0.26275,0.01323,0.00194,0.06553,0.04444,0.02942,0.03854,gla
0.04205,0.30474,0.25229,0.03253,0.0012,0.02238,0.03462,0.05854,0.03261,gla
0.02781,0.39657,0.3098,0.01978,0.00232,0.06265,0.04193,0.04064,0.03038,gla
0.0304,0.39707,0.28366,0.01939,0.00167,0.04599,0.04413,0.03927,0.03074,gla
0.10679,0.13219,0.1451,0.01546,0.00112,0.03579,0.03308,0.03787,0.09959,gla
0.14794,0.15288,0.17647,0.03218,0.00438,0.08662,0.05924,0.05145,0.1512,gla
0.02707,0.22402,0.26797,0.0009,0.00005,0.01401,0.02396,0.01908,0.02418,gla
0.01557,0.30424,0.33072,0.00151,0.00007,0.0141,0.02881,0.01563,0.01354,gla
0.00783,0.34561,0.3281,0.00091,0.00005,0.01359,0.02451,0.01862,0.00358,gla
0,0.42129,0.67059,0.00393,0.00004,0.01046,0.03353,0.01761,0,gla
0.60107,0.11655,0.08497,0.36835,0.01711,0.03669,0.14822,0.41391,0.49228,con
0.47559,0.23108,0.2915,0.17516,0.04997,0.25722,0.31561,0.15455,0.50499,con
0.36383,0.17659,0.12418,0.16502,0.01644,0.08441,0.13686,0.19177,0.33884,con
0.20258,0.27497,0.15948,0.1796,0.01877,0.08957,0.09945,0.21291,0.18001,con
0.51798,0.12765,0.2183,0.34054,0.02689,0.06827,0.16462,0.38109,0.437,con
0.24731,0.08452,0.12874,0.14885,0.00158,0.00235,0.0403,0.18489,0.19116,con
0.20282,0.08274,0.39608,0.18889,0.00205,0.00232,0.06025,0.22641,0.14566,con
0.21838,0.03935,0.28627,0.16385,0.00134,0,0.03739,0.20107,0.16934,con
0.5038,0.08224,0.21699,0.35658,0.03156,0.07773,0.11506,0.40221,0.47044,con
0.51677,0.26438,0.27843,0.59459,0.06308,0.09661,0.23432,0.64887,0.38003,con
0.37405,0.24975,0.25752,0.35193,0.04351,0.112,0.18232,0.39173,0.31245,con
0.43295,0.19223,0.24706,0.51323,0.02031,0.03022,0.14204,0.56782,0.27789,con
0.57284,0.19828,0.28627,0.53375,0.06755,0.11666,0.24167,0.58285,0.46107,con
0.53128,0.21998,0.13203,0.59179,0.0616,0.09461,0.20704,0.65,0.38706,con
0.74045,0.14329,0.03922,0.35528,0.09501,0.25247,0.27546,0.39511,0.70286,adi
0.62922,0.06307,0.20392,0.26961,0.02486,0.08026,0.13934,0.30667,0.58356,adi
0.74045,0.31584,0.83137,0.41282,0.20412,0.47747,1,0.12409,0.843,adi
0.57959,0,0.23363,0.05105,0.00764,0.10852,0.10251,0.06876,0.58508,adi
0.59214,0.09132,0.32102,0.09677,0.0703,0.61921,0.26237,0,0.75307,adi
0.68451,0.11392,0.15508,0.14436,0.01801,0.10624,0.21836,0.14803,0.65536,adi
0.64776,0.19298,0.25426,0.22416,0.07478,0.3084,0.35526,0.20874,0.64656,adi
0.83315,0.1998,0.63268,0.47485,0.15875,0.32174,0.65774,0.44131,0.84164,adi
0.62922,0.23007,0.5085,0.32882,0.08572,0.24497,0.49019,0.30346,0.63814,adi
0.6663,0.12159,0.33725,0.24236,0.04249,0.15909,0.30456,0.24742,0.64928,adi
0.62922,0.16398,0.4183,0.35056,0.0789,0.21097,0.34943,0.36598,0.61266,adi
0.64776,0.17608,0.54641,0.29272,0.04916,0.1538,0.46895,0.26207,0.64338,adi
0.5736,0.10192,0.20523,0.24409,0.03299,0.12082,0.17114,0.27501,0.5333,adi
1,0.20434,0.46928,0.53996,0.17957,0.3214,0.6788,0.51712,1,adi
0.82567,0.1554,0.78562,0.3426,0.14505,0.40407,0.76637,0.18306,0.92418,adi
0.85169,0.20737,0.53725,0.55221,0.21713,0.38194,0.59183,0.55223,0.83807,adi
0.70337,0.15843,0.35686,0.29759,0.08779,0.27681,0.37659,0.29681,0.69927,adi
0.70337,0.27346,0.32157,0.47957,0.22944,0.46446,0.45809,0.49429,0.7085,adi
0.92584,0.5439,0.51373,1,1,1,0.95933,1,0.91629,adi
0.55506,0.17205,0,0.39979,0.07216,0.16844,0.22368,0.44729,0.48722,adi
0.81461,0.09435,0.38039,0.15884,0.02876,0.15899,0.39876,0.05964,0.84991,adi
0.92584,0.1665,0.21569,0.69537,0.22806,0.31915,0.34138,0.7485,0.8733,adi
