@relation 'Credit Approval.arff'

@attribute att01 {a,b}
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 {u,y,l,t}
@attribute att41 {c,d,cc,i,j,k,m,r,q,w,x,e,aa,ff}
@attribute att51 {v,h,bb,j,n,z,dd,ff,o}
@attribute att61 numeric
@attribute att71 {t,f}
@attribute att81 {t,f}
@attribute att91 numeric
@attribute att101 {t,f}
@attribute att111 {g,p,s}
@attribute att121 numeric
@attribute att131 numeric
@attribute class {S,N}

@data
b,0.21053,0.02089,y,cc,v,0.00877,t,t,0.02985,f,g,0.13,0.005,S
b,0.61398,0.33625,u,ff,ff,0.50579,t,t,0.16418,t,g,0.015,0.003,S
b,0.30707,0.3275,u,c,v,0.15789,t,t,0.1791,t,g,0,0.00221,S
b,0.22812,0.53571,u,c,h,0.18719,t,t,0.16418,f,g,0,0.02283,S
b,0.2394,0.05054,u,w,h,0.02632,t,t,0.01493,f,g,0.12,0.001,S
b,0.38842,0.49696,u,w,v,0.30263,t,t,0.08955,t,g,0.035,0,S
b,0.64165,1,y,c,v,1,t,t,0.59701,f,g,0,0.00015,S
b,0.61023,0.24107,u,c,h,0.09211,t,t,0.16418,t,g,0,0.00284,S
a,0.40977,0.07286,y,q,h,0.00439,t,t,0.34328,t,g,0.2275,0.01236,S
b,0.27323,0.15929,u,cc,h,0.21193,t,t,0.04478,f,g,0.1555,0.003,S
b,0.41729,0.055,u,i,bb,0.12281,f,f,0,f,g,0.108,0,S
b,0.15293,0.02375,u,c,v,0.00579,f,f,0,f,g,0.05,0,S
a,0.18045,0.01786,u,c,h,0.0307,t,f,0,t,g,0.2455,0,S
b,0.18421,0.03571,u,q,v,0.0614,t,f,0,t,g,0.14,0,S
b,0.35594,0.07286,u,w,v,0.0014,t,f,0,t,g,0.2,0.058,S
b,0.31835,0.08929,u,w,v,0,t,f,0,t,g,0.1195,0.002,S
b,0.30827,0.10714,u,cc,h,0.26018,t,f,0,t,g,0,0,S
b,0.14406,0.41518,y,w,v,0.0293,t,f,0,t,g,0.08,0.003,S
b,0.14165,0,u,cc,v,0.00298,t,f,0,f,g,0,0,S
b,0.45985,0.01786,u,i,h,0.17544,t,f,0,t,g,0.16,0,S
b,0.32211,0.16071,u,x,h,0.20175,f,f,0,t,s,0.3555,0,S
b,0.44361,0.10714,u,q,h,0.21053,t,t,0.16418,f,g,0.04,0,S
b,0.64662,0.4375,u,m,v,0.04386,t,t,0.0597,t,g,0.1,0,S
b,0.26947,0.57732,u,d,v,0.10526,t,t,0.13433,f,g,0.125,0.0073,S
a,0.14541,0.02821,y,q,v,0.05263,t,t,0.02985,t,g,0.04,0.004,S
a,0.1003,0.02982,u,q,v,0.05561,t,t,0.01493,f,g,0,0,S
b,0.19429,0.15179,u,cc,v,0.15053,t,t,0.01493,t,g,0.06,0,S
b,0.30707,0.055,u,cc,v,0.05404,t,t,0.01493,t,g,0.26,0.5,S
a,0.33459,0.03571,u,c,v,0.07018,t,t,0.16418,f,g,0,0.00456,S
b,0.17669,0.01339,u,m,v,0.00877,t,t,0.04478,f,g,0.13,0.15108,S
b,0.08526,0.23214,u,w,h,0.05123,t,t,0.10448,f,g,0.04,0.02954,S
b,0.32211,0.89732,u,x,h,0.05702,t,t,0.01493,t,g,0.2575,0.005,S
b,0.2794,0.26786,u,e,bb,0.05561,t,f,0,t,s,0.21,0,N
b,0.31699,0.14286,u,d,bb,0.4386,t,f,0,t,g,0.09802,0,N
a,0.37338,0.17857,u,cc,v,0.47368,t,f,0,t,g,0.49,0,N
b,0.45865,0.01786,u,m,v,0.37719,t,f,0,f,s,0.2,0,N
b,0.46737,0.25,y,c,v,0.05702,f,f,0,f,g,0.08,0.00002,N
b,0.10406,0.18893,u,q,v,0.01316,t,t,0.01493,f,g,0.08,0,N
b,0.30571,0.23214,u,aa,v,0.00439,t,f,0,t,g,0.2215,0,N
a,0.0815,0.02089,y,aa,v,0.02053,t,f,0,t,g,0.08,0,N
b,0.1191,0.04161,y,k,v,0.08772,t,t,0.01493,f,g,0.09,0.0002,N
b,0.11654,0.34821,u,c,v,0.00877,t,f,0,f,g,0.07,0,N
b,0.5388,0.67857,u,ff,ff,0,t,t,0.01493,f,g,0.047,0,N
a,0.20932,0.05357,u,m,v,0.07018,t,f,0,f,s,0.184,0,N
b,0.39218,0.01786,u,m,v,0.00877,t,f,0,f,s,0.144,0,N
a,0.22977,0.125,u,d,v,0.10526,t,f,0,t,g,0.15,0,N
b,0.20301,0.02232,u,aa,v,0.01596,t,f,0,t,g,0.1,0,N
b,0.35218,0.14286,u,c,bb,0.17544,t,f,0,t,s,0.14,0,N
b,0.22977,0.01339,u,d,v,0.0307,t,f,0,t,s,0.464,0,N
b,0.17925,0.07893,y,aa,v,0.14035,t,f,0,f,g,0.094,0,N
b,0.30451,0.16071,u,aa,v,0.03509,t,f,0,t,g,0.12,0,N
a,0.53008,0.05357,u,j,j,0,t,f,0,t,g,0.05,0.00027,N
b,0.73308,0.45536,y,c,h,0.17544,t,f,0,f,g,0.056,0,N
b,0.26571,0.55357,u,c,v,0.01754,t,f,0,f,g,0.06,0,N
b,0.22977,0.17857,y,aa,v,0.29825,t,f,0,f,g,0,0,N
b,0.58015,0.04911,y,c,h,0.33193,t,f,0,t,g,0.1,0.001,N
b,0.22556,0.05357,y,c,v,0.05263,t,f,0,t,g,0,0.00225,N
a,0.22301,0.12643,u,i,bb,0.01754,t,f,0,t,g,0.0855,0,N
b,0.1391,0.02232,y,aa,v,0.00439,t,f,0,f,g,0.09,0.00001,N
b,0.22977,0.01786,u,c,bb,0.0293,t,f,0,t,s,0.16,0,N
a,0.13158,0.39286,y,q,v,0.10526,t,f,0,t,g,0.134,0,N
a,0.2218,0.03571,u,q,v,0.03509,t,t,0.02985,t,g,0.0835,0.005,N
b,0.35714,0.0625,y,c,bb,0.00877,t,f,0,t,g,0.082,0.004,N
b,0.32331,0.58929,y,c,v,0.14035,t,f,0,f,g,0.04,0,N
b,0.07398,0.17857,u,q,v,0.01316,t,t,0.02985,f,g,0,0.00038,N
b,0.16917,0.42857,u,k,v,0.07895,t,t,0.02985,t,g,0.06,0.00005,N
b,0.21173,0.14286,y,i,h,0.20175,t,t,0.02985,t,g,0.0375,0,N
b,0.61774,0.55357,u,e,z,0,t,t,0.29851,f,g,0.076,0.0013,N
b,0.22556,0.04161,u,k,v,0.01754,t,f,0,f,s,0.14,0,N
a,0.16917,0.39286,y,aa,v,0.15789,t,f,0,f,g,0.06,0,N
b,0.40857,0.08036,y,x,h,0.35088,t,f,0,t,g,0.088,0,N
a,0.09023,0.02679,u,c,v,0.02789,t,t,0.07463,t,g,0.07,0.00005,N
b,0.23188,0.125,u,w,v,0.12281,t,t,0.04478,t,g,0.1645,0,N
a,0.16165,0.03714,y,ff,ff,0.01754,t,t,0.04478,f,g,0.09,0.00147,N
b,0.16286,0.44643,u,w,v,0.0307,t,f,0,t,g,0.13,0,N
a,0.30075,0.02679,u,k,bb,0.03509,t,t,0.04478,t,g,0.106,0,N
b,0.10406,0.04464,y,c,h,0.04825,t,t,0.04478,t,g,0.07,0.0021,N
a,0.17549,0.04018,u,q,v,0.04526,t,t,0.02985,f,g,0.1,0,N
b,0.3609,0.25,u,q,h,0.40351,t,t,0.10448,t,g,0.15,0.00005,N
b,0.58271,0.23214,u,k,v,0.2207,t,t,0.22388,f,g,0,0.11202,S
b,0.66286,0.25143,u,m,v,0.49123,t,t,0.08955,t,g,0.18,0.01332,S
a,0.10526,0.36911,u,cc,h,0.01175,t,t,0.01493,t,g,0.04,0.0005,S
b,0.39353,0.22179,u,q,v,0.0014,t,t,0.01493,f,g,0.1,0.003,S
b,0.17925,0.44643,u,cc,v,0.04246,t,t,1,t,g,0.07,0.00258,S
a,0.16541,0.44643,u,aa,v,0.05263,t,t,0.1791,t,g,0.06,0.00567,S
a,0.45744,0.23804,u,q,v,0.25877,t,t,0.04478,t,g,0,0,S
a,0.14662,0.32143,u,q,v,0.29825,t,t,0.07463,t,g,0.06,0,S
b,0.31835,0.17857,u,x,h,0.26316,t,t,0.08955,t,g,0,0.01,S
b,0.51008,0.08929,u,m,bb,0.08772,t,t,0.1791,t,g,0.205,0.0251,S
b,0.13534,0.39286,u,q,v,0.08772,t,t,0.10448,t,g,0.05,0.00809,S
b,0.31083,0.15179,u,i,bb,0.11404,t,t,0.02985,f,g,0.137,0.0061,S
a,0.2206,0.125,u,w,v,0.0293,t,f,0,f,s,0.14,0,S
b,0.81203,0.19643,u,e,z,0.45614,t,t,0.01493,t,g,0,0,S
b,0.1003,0.06554,u,c,v,0.07895,t,t,0.01493,f,g,0.05,0.0015,S
a,0.50632,0.28571,u,e,bb,0.22807,t,t,0.08955,f,g,0.1875,0.511,S
b,0.33835,0.17857,u,c,bb,0.08772,t,t,0.08955,f,g,0,0.00367,S
b,0.28451,0.19643,u,q,h,0.19298,t,t,0.1791,t,g,0.204,0.01,S
b,0.52376,0.23214,u,q,h,0.21053,t,f,0,t,g,0.175,0,S
b,0.39353,0.01929,y,aa,v,0.01754,t,t,0.04478,f,g,0.1,0.01,S
b,0.2982,0.09821,u,m,v,0.14912,t,t,0.08955,f,g,0.102,0,S
a,0.07639,0.33929,u,w,v,0.05702,t,t,0.08955,t,g,0.02,0.006,S
a,0.19805,0.48214,u,q,h,0.17544,t,t,0.02985,f,g,0,0.05,S
a,0.26316,0.13393,u,cc,h,0.02193,t,t,0.13433,t,g,0.0905,0,S
a,0.64286,0.57143,u,j,ff,0,t,t,0.22388,f,g,0,0.00247,S
b,0.43985,0.01036,y,cc,h,0.0614,t,t,0.1194,f,g,0.05,0.00375,S
b,0.12902,0.39286,u,w,v,0.07018,t,t,0.01493,f,g,0.04,0.00278,S
b,0.20301,0.05946,u,cc,h,0.17842,t,t,0.13433,f,g,0.1995,0.00827,S
b,0.28692,0.08929,u,cc,h,0.09649,t,t,0.08955,f,g,0.08,0.02072,S
b,0.14286,0.05357,u,q,v,0.08333,t,t,0.04478,t,g,0,0.00582,S
a,0.3997,0.26929,y,q,h,0.2807,t,t,0.20896,f,g,0,0.023,S
a,0.25188,0.23214,u,c,bb,0.14035,t,t,0.10448,t,g,0,0.03065,S
a,0.58767,0.53571,u,c,v,0.19298,t,t,0.20896,f,g,0,0.022,S
a,0.49504,0.01643,u,cc,h,0.01456,t,t,0.16418,t,g,0.22,0.00006,S
a,0.67038,0.35714,u,q,v,0.14035,t,t,0.20896,f,g,0,0.01602,S
b,0.35459,0.23214,u,m,h,0.14912,t,t,0.1791,t,g,0.0465,0,S
b,0.1403,0.08929,u,c,v,0.03807,t,t,0.16418,t,g,0.03,0.02184,S
b,0.28571,0.05357,u,cc,h,0.19298,t,t,0.04478,t,g,0,0,S
a,0.1191,0.41071,y,j,j,0,t,t,0.16418,t,g,0,0,S
a,0.2218,0.10857,y,x,h,0.08912,t,t,0.01493,f,g,0.035,0,S
a,0.82586,0.53571,u,e,z,0,t,t,0.20896,f,g,0,0.03376,S
b,0.21429,0.07143,u,k,h,0.14614,t,t,0.02985,t,g,0.0905,0,S
b,0.30571,0.00286,y,m,bb,0.0014,t,t,0.01493,t,g,0.14,0.02,S
b,0.20932,0.07143,u,x,h,0.03509,t,t,0.0597,f,g,0.07,0.07544,S
b,0.45489,0.07143,u,m,v,0.0614,t,t,0.02985,t,g,0,0.00015,S
b,0.17038,0.06107,u,x,v,0.05842,t,t,0.01493,t,g,0.1975,0.0002,S
b,0.27444,0.0625,y,e,h,0.0014,t,f,0,t,g,0.1965,0,S
a,0.70421,0.58929,u,q,v,0.38596,t,f,0,t,g,0.0105,0.10561,S
a,0.40722,0.35714,u,q,h,0.0614,t,f,0,f,g,0.0145,0.00837,S
b,0.08391,0.33929,u,q,v,0.03509,t,f,0,t,g,0.03,0.004,S
a,0.2794,0.01929,u,cc,v,0.0014,t,f,0,f,g,0.22,0.11177,S
b,0.34466,0.11607,u,q,h,0.31579,t,f,0,t,g,0.051,0.00639,S
b,0.35714,0.04018,y,d,v,0.05263,f,f,0,t,g,0.2155,0,S
a,0.17038,0.09071,y,aa,v,0.00877,t,f,0,t,g,0.185,0,S
b,0.41474,0,u,c,bb,0.52632,t,f,0,f,g,0,0,S
b,0.63534,0.44643,u,k,h,0.2807,t,f,0,t,g,0.012,0.02028,S
a,0.54256,0.48518,u,k,h,0.29825,t,f,0,t,g,0,0,S
b,0.13414,0.375,u,q,h,0.04684,t,f,0,f,g,0.05,0,S
b,0.19925,0.05357,y,w,v,0.01316,t,f,0,t,g,0.13,0.01065,S
b,0.16917,0.44643,u,aa,v,0.10526,t,f,0,t,s,0.01,0,S
a,0.18541,0.30946,u,aa,v,0.04965,t,f,0,f,g,0.08,0.0015,S
a,0.07023,0.33036,u,q,v,0.04246,t,t,0.0597,f,g,0.03,0.0054,S
b,0.09654,0.29179,u,aa,v,0.06877,t,t,0.20896,f,g,0.03,0.00158,S
b,0.51008,0.01036,u,c,bb,0.52632,t,t,0.29851,f,g,0,0.15,S
a,0.11278,0.08339,u,i,bb,0.01754,t,t,0.0597,f,s,0.04,0,S
a,0.10406,0.10714,u,q,v,0.00579,t,t,0.04478,f,g,0.05,0.00006,S
a,0.65158,0.69643,u,c,v,0.19298,t,t,0.10448,f,g,0,0.03,S
a,0.13038,0.20232,u,q,v,0.0907,t,t,0.10448,f,g,0.0645,0.03257,S
b,0.52632,0.30357,u,c,h,0.4386,t,t,0.13433,f,g,0.0905,0.01655,S
b,0.39474,0.23214,u,aa,bb,0.12281,t,t,0.01493,f,g,0,0.005,S
b,0.40346,0.17857,u,c,v,0.17544,t,t,0.10448,f,g,0,0.03065,S
a,0.22436,0.03714,u,c,v,0.08772,t,t,0.07463,t,g,0.15,0.0143,S
a,0.29068,0.16518,u,q,h,0.05702,t,t,0.02985,f,g,0,0,S
b,0.11398,0.375,u,c,v,0.10526,t,f,0,t,g,0,0,S
b,0.42481,0.00732,u,i,h,0.17982,t,f,0,f,g,0.2,0,S
b,0.42105,0.03429,u,x,v,0.08772,t,f,0,f,g,0.255,0.006,S
b,0.13414,0.05661,y,w,v,0.10825,t,t,0.08955,f,g,0.04,0,S
b,0.31203,0.14429,y,i,bb,0.29825,t,t,0.10448,t,g,0.0975,0,S
b,0.21805,0.18,y,c,bb,0.05263,t,t,0.1194,t,g,0.072,0.00007,S
b,0.29203,0.11304,y,x,v,0.11105,t,t,0.04478,t,g,0.19,0,S
b,0.51759,0.27232,u,w,h,0.54386,t,t,0.1791,f,g,0,0.0079,S
b,0.20797,0.07286,y,aa,v,0.07018,t,t,0.04478,t,g,0.185,0.0056,S
b,0.13278,0.35857,u,x,v,0.0014,t,t,0.13433,f,g,0.03,0.00396,S
a,0.15534,0.01786,u,q,h,0.04386,t,t,0.01493,f,g,0,0.00678,S
a,0.41474,0.03571,u,i,bb,0.07895,t,f,0,t,g,0,0.003,S
b,0.16662,0.09821,u,c,v,0.07895,t,t,0.08955,f,g,0.0806,0.006,S
a,0.10526,0.36607,u,q,v,0.02491,t,t,0.02985,t,g,0.0245,0,S
b,0.33955,0.07589,y,w,v,0.00298,t,t,0.01493,f,g,0.025,0.01187,S
a,0.32586,0.42857,u,q,h,0.49123,t,t,0.1194,f,g,0,0.0659,S
a,0.86962,0,u,c,v,0,f,f,0,f,p,0.0806,0,S
b,0.22436,0.33339,u,q,h,0.19877,t,t,0.08955,f,g,0.1905,0.00168,S
b,0.32211,0.08929,u,k,v,0.15789,t,t,0.10448,f,g,0.075,0.0127,S
b,0.38722,0.15179,u,c,bb,0.22807,t,t,0.23881,f,g,0.0585,0.0121,S
b,0.38466,0.20982,u,cc,h,0.35088,t,t,0.20896,t,g,0.1995,0,S
b,0.1591,0.23661,y,d,v,0.19298,t,f,0,t,s,0.05,0,S
b,0.69669,0.51786,u,ff,ff,0.63158,t,t,0.22388,t,g,0,0.01,S
b,0.1403,0.41071,u,i,v,0.12281,t,t,0.13433,f,g,0.028,0.00742,S
b,0.19429,0.09679,y,cc,v,0.18421,t,t,0.01493,f,g,0.1055,0,S
b,0.51759,0.125,u,aa,v,0.12281,t,f,0,f,s,0.115,0,S
b,0.41233,0.14429,u,cc,h,0.24561,t,t,0.1194,f,g,0.16,0,S
b,0.63414,0.41071,u,ff,ff,0.17544,t,t,0.07463,f,g,0,0.08851,S
b,0.60406,0.34375,u,e,v,0.30404,t,t,0.07463,f,g,0,0,S
a,0.07774,0.33036,y,c,v,0.03509,t,t,0.0597,t,g,0.04,0.005,S
a,0.54632,0.44786,u,aa,v,0.08035,t,t,0.04478,t,g,0.078,0,S
b,0.77699,0.39286,u,e,z,0.70175,t,t,0.10448,t,g,0.011,0,S
a,0.05759,0.32143,u,aa,v,0.04825,t,f,0,t,g,0,0,S
a,0.07639,0.34071,u,aa,v,0.00298,t,f,0,f,g,0.05,0,S
a,0.3609,0.19643,u,q,v,0.00439,t,f,0,t,g,0.114,0,S
b,0.14286,0.14286,u,c,bb,0.00877,t,f,0,t,g,0.08,0,S
b,0.06511,0.19643,u,k,v,0.01754,t,f,0,f,g,0.04,0,S
a,0.13158,0.30214,y,x,v,0.08632,f,f,0,f,g,0.082,0,S
b,0.08902,0.01339,u,q,v,0.07018,t,t,0.02985,t,g,0.04,0,S
b,0.12526,0.39286,u,cc,v,0.02333,t,f,0,f,g,0.05,0,S
b,0.17173,0.125,u,cc,v,0.02193,t,t,0.10448,f,g,0,0.07059,S
a,0.50632,0.10714,u,x,v,0.48684,t,t,0.02985,t,g,0.2595,0.01704,S
b,0.29699,0.0625,u,x,h,0.15789,t,t,0.0597,t,g,0.1265,0.00857,S
b,0.20932,0.49107,u,w,v,0.20175,t,f,0,t,g,0.2435,0.005,S
a,0.67173,0.75,u,i,bb,0.35088,t,t,0.19403,f,g,0,0.067,S
a,0.10406,0.06554,u,q,v,0.07316,t,t,0.07463,f,g,0.11,0.02503,S
b,0.18677,0.00893,u,i,bb,0,t,f,0,t,g,0,0,S
b,0.11398,0.26786,u,aa,v,0.04965,t,t,0.01493,f,g,0.04,0.098,S
b,0.43729,0.16518,u,q,v,0.1607,t,f,0,f,s,0,0,S
b,0.36722,0.36161,u,x,v,0.08772,t,t,0.08955,f,g,0.26,0.00196,S
b,0.1015,0.35714,y,c,v,0.08772,t,f,0,f,s,0.02,0,S
b,0.5188,0.89589,u,w,v,0.0614,t,t,0.04478,f,g,0.06,0.00014,S
b,0.21925,0.17857,u,w,v,0.38596,t,f,0,t,g,0.035,0,S
a,0.07519,0.26786,u,q,v,0.09509,t,t,0.07463,f,g,0.0806,0.26726,S
b,0.07143,0.07143,u,i,v,0.05263,t,t,0.02985,f,g,0.06,0.003,S
b,0.29203,0.10857,y,c,h,0.07158,t,t,0.01493,t,g,0.09,0.18027,S
b,0.46992,0.30357,u,cc,h,0.49123,t,t,0.01493,t,g,0.044,0.02,S
a,0.08902,0.0075,u,q,h,0.01018,t,t,0.16418,f,g,0.04,0.00099,S
b,0.16165,0.45536,u,c,bb,0.16667,t,t,0.02985,f,g,0.0365,0.00444,S
b,0.1215,0.39286,u,x,v,0.01018,t,t,0.08955,f,g,0.0605,0,S
b,0.3985,0.76786,u,e,z,0.70175,t,t,0.16418,f,g,0,0.012,S
b,0.41609,0.17857,u,q,h,0.17544,t,t,0.08955,t,g,0.235,0,S
a,0.06135,0.39286,u,x,h,0.03509,t,t,0.16418,f,g,0,0.03,S
b,0.14165,0.39732,u,x,h,0.01614,t,t,0.01493,f,g,0.05,0,S
b,0.22977,0.02232,u,k,v,0.00877,f,f,0,f,g,0.19,0.0201,N
b,0.06647,0.36607,u,c,h,0.03807,f,f,0,f,g,0.16,0.00013,N
b,0.09398,0.39446,u,c,v,0.07018,f,f,0,t,g,0.068,0,N
b,0.09398,0,u,d,v,0.01754,f,f,0,f,g,0.072,0,N
a,0.10526,0.34071,u,i,v,0.0014,f,f,0,f,g,0.1,0.01,N
a,0.16165,0.0625,y,c,v,0.00579,f,f,0,f,g,0.066,0,N
b,0.28571,0.08339,u,d,h,0.20175,f,f,0,t,g,0.146,0,N
a,0.57774,0,y,ff,ff,0,f,f,0,f,g,0,0,N
a,0.51759,0.04768,u,i,o,0.01175,f,f,0,f,g,0,0.0012,N
a,0.1003,0.375,y,x,h,0,f,f,0,t,g,0.077,0.00032,N
b,0.55639,0.02089,u,ff,ff,0,f,f,0,f,g,0.0725,0,N
b,0.05008,0.00304,y,c,v,0.0014,f,f,0,f,g,0.07,0.00722,N
b,0.06887,0.04321,y,e,dd,0,f,f,0,f,g,0.05,0,N
a,0.27444,0.21429,u,d,v,0.04386,f,f,0,f,g,0.136,0,N
b,0.69053,0.055,u,q,v,0.00439,t,f,0,t,g,0.13,0,S
b,0.06391,0.00589,u,q,n,0.00737,f,f,0,f,g,0.1,0.0004,S
b,0.35835,0,u,c,v,0,f,f,0,f,p,0.0806,0,S
b,0.2794,0.08929,u,c,v,0.04386,f,f,0,t,g,0.14,0,N
b,0.06511,0.24107,y,m,v,0.0014,f,f,0,f,g,0.07,0,N
b,0.36842,0.36161,y,k,v,0.00439,f,f,0,f,g,0.08,0,N
b,0.25444,0.08929,u,cc,h,0.07895,f,f,0,t,s,0.17,0,N
b,0.07263,0.20393,u,d,v,0.01895,f,f,0,f,g,0.06,0,N
a,0.0815,0.19339,u,i,h,0.01018,f,f,0,f,g,0.04,0.00484,N
a,0.06647,0.35714,y,q,h,0.00579,f,f,0,f,g,0.17,0,N
b,0.16286,0.48214,y,ff,ff,0,f,f,0,f,g,0.09802,0,N
b,0.03759,0.02982,u,m,v,0.00298,t,f,0,f,s,0.1,0,N
b,0.11158,0.03125,y,c,h,0.00877,f,f,0,f,g,0.14,0.00204,N
b,0.15293,0.02089,y,cc,h,0.00439,f,f,0,f,g,0.12,0.00001,N
b,0.05895,0.15929,u,c,v,0.00877,f,f,0,f,s,0.04,0,N
a,0.04135,0.04464,u,q,v,0.00877,f,t,0.01493,f,g,0.054,0.00098,N
b,0.14286,0.45089,u,c,v,0.00439,f,t,0.02985,f,g,0,0.05552,N
b,0.05759,0.35714,u,w,h,0.00579,f,t,0.01493,f,g,0.06,0.00001,N
a,0.22977,0.05357,u,ff,ff,0,f,t,0.02985,t,g,0.1,0.00105,N
b,0.23684,0.02071,u,w,v,0.01018,f,t,0.01493,f,g,0.17,0.02803,N
b,0.07639,0.01482,y,c,v,0.00579,f,t,0.01493,f,g,0.1,0.00001,N
a,0.1203,0.0625,y,j,j,0,f,f,0,f,g,0.08,0,N
b,0.1391,0.02679,u,m,v,0.01754,f,f,0,t,s,0.16,0,N
a,0.06767,0.35714,u,w,v,0.03509,f,t,0.01493,f,g,0.06,0.00001,N
b,0.17549,0.01929,u,w,v,0.00579,f,t,0.01493,f,g,0.136,0.00444,N
b,0.33083,0.08625,u,w,v,0.00439,f,t,0.02985,f,g,0.11,0.00001,N
a,0.03504,0.01196,u,ff,ff,0,f,t,0.01493,f,g,0.08,0.00126,N
a,0.27323,0.11161,u,ff,ff,0.10667,f,t,0.02985,t,g,0.1,0.00004,N
b,0.83338,0.32143,u,ff,ff,0.14035,f,t,0.01493,f,g,0.035,0.00006,N
b,0.28827,0.08929,u,aa,v,0.0614,f,t,0.02985,t,g,0.36,0,N
b,0.0388,0.09821,u,aa,v,0.02333,f,t,0.01493,f,g,0.04,0.00021,N
b,0.12662,0.43304,u,c,v,0.11702,f,t,0.02985,t,g,0.09,0.00173,N
a,0.6591,0.07143,u,ff,ff,0.22807,f,t,0.01493,f,g,0,0.0001,N
b,0.06767,0.00589,u,d,v,0.00877,f,f,0,t,s,0.14,0,N
b,0.14541,0.03571,u,c,v,0.01754,f,f,0,t,s,0.14,0,N
a,0.03263,0.10268,u,q,v,0.00298,f,f,0,f,g,0.06,0,N
a,0.16541,0.48804,u,q,h,0.05263,f,f,0,f,g,0.14,0.00001,N
b,0.52632,0.94054,y,ff,ff,0,t,f,0,t,g,0,0,N
b,0.14662,0.09821,u,ff,ff,0.15789,f,f,0,f,g,0.08,0.00025,N
