@relation 'Statlog German Credit Data.arff'

@attribute att01 {A11,A12,A13,A14}
@attribute att11 numeric
@attribute att21 {A30,A31,A32,A33,A34}
@attribute att31 {A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A410}
@attribute att41 numeric
@attribute att51 {A61,A62,A63,A64,A65}
@attribute att61 {A71,A72,A73,A74,A75}
@attribute att71 numeric
@attribute att81 {A91,A92,A93,A94,A95}
@attribute att91 {A101,A102,A103}
@attribute att101 numeric
@attribute att111 {A121,A122,A123,A124}
@attribute att121 numeric
@attribute att131 {A141,A142,A143}
@attribute att141 {A151,A152,A153}
@attribute att151 numeric
@attribute att161 {A171,A172,A173,A174}
@attribute att171 numeric
@attribute att181 {A191,A192}
@attribute att191 {A201,A202}
@attribute class {1,2}

@data
A12,0.29412,A33,A42,0.11461,A65,A72,1,A93,A101,0.33333,A122,0.17857,A141,A152,0,A172,0,A191,A201,1
A12,0.33824,A33,A41,0.31446,A61,A75,0,A93,A101,0.33333,A123,0.19643,A143,A152,0.33333,A174,0,A192,A201,1
A14,0.11765,A32,A43,0.05568,A61,A73,0.66667,A93,A101,0.33333,A123,0.10714,A143,A152,0,A173,0,A191,A201,1
A14,0.20588,A32,A41,0.17211,A65,A73,0.33333,A93,A101,0,A122,0.21429,A143,A152,0,A173,0,A192,A201,1
A12,0.47059,A33,A40,0.10867,A61,A75,1,A93,A101,1,A124,0.67857,A141,A153,0.33333,A173,0,A192,A201,2
A14,0.02941,A31,A40,0.02933,A65,A73,0,A93,A103,0.33333,A121,0.125,A142,A152,0,A172,1,A191,A201,1
A12,0.11765,A32,A43,0.34214,A65,A71,0.33333,A93,A101,0,A124,0.58929,A143,A152,0,A174,0,A192,A201,2
A14,0.47059,A34,A43,0.5126,A61,A73,0.33333,A92,A101,0.33333,A123,0.21429,A142,A152,0.33333,A173,0,A191,A201,1
A13,0.20588,A32,A40,0.09415,A61,A75,0.66667,A92,A101,0.33333,A123,0.07143,A143,A152,0,A174,0,A191,A201,1
A11,0.47059,A34,A42,0.32899,A61,A72,1,A92,A102,1,A124,0.07143,A143,A151,0.33333,A172,0,A192,A201,2
A12,0.07353,A32,A49,0.06278,A61,A73,0.33333,A94,A101,0,A121,0.14286,A141,A152,0,A173,0,A192,A201,1
A12,0.16176,A34,A43,0.07082,A65,A75,1,A93,A103,1,A121,0.55357,A143,A152,0.33333,A173,0,A192,A201,1
A12,0.47059,A30,A49,0.09371,A61,A75,1,A93,A101,1,A124,0.75,A143,A153,0,A174,0,A192,A201,2
A12,0.64706,A30,A49,0.77974,A61,A73,0.33333,A93,A101,0.33333,A123,0.10714,A143,A152,0,A173,0,A192,A201,2
A14,0.29412,A32,A43,0.16127,A61,A72,1,A92,A101,1,A122,0.125,A143,A152,0,A173,0,A192,A201,1
A14,0.33824,A32,A45,0.27182,A65,A75,1,A93,A101,1,A122,0.51786,A143,A152,1,A173,1,A192,A201,1
A14,0.11765,A32,A43,0.1057,A61,A72,0.33333,A92,A101,0.33333,A123,0.17857,A141,A152,0,A173,0,A191,A201,1
A12,0.11765,A32,A40,0.04165,A64,A73,1,A94,A101,0,A121,0.05357,A143,A152,0,A173,0,A191,A201,1
A14,0.47059,A32,A46,0.08633,A61,A73,1,A93,A101,1,A124,0.32143,A142,A153,0,A173,0,A192,A201,2
A14,0.47059,A32,A43,0.11797,A65,A73,1,A92,A101,1,A123,0.10714,A143,A152,0,A173,0,A191,A201,1
A14,0.47059,A32,A41,0.43375,A61,A73,0,A92,A101,0.33333,A122,0.19643,A141,A152,0,A173,0,A191,A201,1
A14,0.04412,A34,A43,0.02641,A65,A75,1,A93,A101,0.33333,A122,0.48214,A143,A151,0.33333,A172,0,A192,A201,1
A11,0.05882,A34,A410,0.05029,A61,A75,0.66667,A93,A101,1,A124,0.57143,A141,A153,0.33333,A174,1,A192,A201,1
A12,0.55882,A34,A49,0.31385,A61,A74,0.33333,A92,A101,0,A121,0.39286,A141,A152,0.33333,A172,0,A191,A201,1
A11,0.47059,A32,A46,0.09503,A65,A75,1,A93,A101,1,A124,0.375,A143,A152,0,A174,0,A192,A201,2
A11,0.11765,A34,A41,0.07021,A61,A75,1,A93,A101,1,A124,0.83929,A143,A153,0.33333,A174,0,A191,A201,1
A11,0.55882,A32,A43,0.20441,A61,A72,1,A93,A101,0.66667,A123,0.26786,A143,A152,0,A173,0,A191,A201,2
A12,0.10294,A33,A43,0.24876,A61,A74,0.33333,A93,A101,1,A122,0.57143,A143,A152,0,A173,0,A191,A201,1
A14,0.73529,A30,A41,0.50545,A65,A73,0.33333,A93,A101,0.33333,A122,0.35714,A143,A152,0,A172,1,A191,A201,1
A12,0.38235,A32,A42,0.19709,A61,A72,0.33333,A94,A101,0,A122,0.05357,A143,A152,0,A173,0,A191,A201,1
A14,0.29412,A32,A43,0.31325,A65,A72,0,A92,A101,0,A123,0.44643,A143,A152,0.33333,A173,0,A192,A201,2
A14,0.16176,A32,A43,0.05299,A63,A75,1,A93,A101,0.66667,A122,0.5,A142,A152,0,A173,0,A192,A201,1
A14,0.20588,A32,A49,0.07252,A62,A73,0.66667,A92,A101,1,A122,0.08929,A143,A151,0,A172,0,A191,A201,1
A11,0.29412,A32,A410,0.08281,A61,A75,1,A92,A103,1,A121,0.69643,A143,A152,0,A172,0,A192,A201,1
A11,0.08824,A32,A43,0.11362,A61,A75,0.66667,A93,A101,1,A121,0.58929,A143,A152,0,A172,0,A191,A201,1
A14,0.11765,A34,A49,0.06394,A61,A73,1,A92,A103,0.33333,A121,0.17857,A143,A152,0.33333,A174,0,A192,A201,1
A12,0.20588,A34,A42,0.0575,A61,A72,1,A92,A101,0,A122,0.14286,A143,A152,0.33333,A173,0,A191,A201,1
A12,0.47059,A32,A46,0.6802,A62,A73,0,A93,A101,1,A124,0.5,A143,A153,0,A173,1,A192,A201,2
A11,0.20588,A32,A40,0.10999,A62,A74,1,A93,A101,0.66667,A123,0.19643,A143,A152,0,A174,1,A192,A201,1
A11,0.11765,A30,A45,0.04721,A61,A74,1,A93,A101,0.66667,A121,0.16071,A143,A152,0.33333,A173,0,A191,A201,2
A14,0.11765,A34,A43,0.02025,A61,A75,1,A93,A101,1,A121,0.66071,A143,A152,0,A173,0,A191,A201,1
A11,0.11765,A34,A41,0.06377,A61,A75,1,A93,A101,0.66667,A121,0.625,A143,A152,0,A173,0,A191,A201,1
A14,0.11765,A34,A43,0.0301,A65,A75,1,A92,A101,0.66667,A122,0.25,A141,A152,0,A172,1,A191,A201,2
A13,0.29412,A34,A42,0.18526,A65,A75,1,A93,A102,1,A124,0.01786,A143,A151,0.33333,A173,0,A191,A201,1
A12,0.11765,A32,A40,0.05877,A64,A75,1,A93,A101,1,A121,0.625,A143,A152,0,A173,0,A192,A201,1
A12,0.73529,A30,A49,0.8636,A61,A72,0.66667,A93,A101,1,A124,0.69643,A143,A151,0,A173,0,A192,A201,2
A14,0.11765,A34,A46,0.09695,A65,A74,1,A92,A101,0.33333,A123,0.75,A143,A152,0,A173,0,A191,A201,1
A12,0.20588,A32,A49,0.13052,A62,A73,1,A93,A101,1,A123,0.26786,A143,A152,0,A173,0,A191,A201,1
A12,0.47059,A34,A43,0.11483,A61,A75,1,A93,A101,1,A121,0.30357,A143,A152,0,A173,0,A191,A201,1
A12,0.23529,A33,A41,0.37455,A65,A74,0.66667,A93,A101,1,A122,0.30357,A141,A151,0.33333,A174,1,A192,A201,1
A14,0.29412,A32,A40,0.06707,A62,A75,1,A94,A101,1,A121,0.39286,A143,A151,0,A172,0,A191,A201,1
A12,0.47059,A32,A43,0.11406,A61,A74,1,A93,A101,1,A123,0.08929,A143,A151,0,A173,0,A191,A201,1
A14,0.02941,A33,A43,0.03753,A61,A73,0.66667,A92,A101,0.33333,A121,0.08929,A143,A152,0,A173,0,A191,A201,1
A12,0.07353,A34,A42,0.09183,A61,A74,1,A93,A101,0.66667,A123,0.28571,A143,A151,0,A173,0,A192,A201,1
A14,0.11765,A32,A41,0.12078,A65,A72,0.33333,A94,A101,1,A123,0.125,A143,A151,0,A173,0,A192,A201,1
A12,0.29412,A34,A410,0.64312,A61,A73,0.33333,A93,A102,0.66667,A123,0.35714,A143,A152,0.33333,A174,1,A192,A201,2
A14,0.20588,A31,A40,0.34159,A61,A75,0.33333,A93,A101,1,A124,0.35714,A141,A152,0.33333,A174,1,A192,A201,2
A12,0.11765,A32,A40,0.32068,A61,A74,0.33333,A93,A101,0.33333,A123,0.23214,A143,A152,0,A173,0,A191,A201,1
A11,0.29412,A32,A42,0.41108,A65,A72,0,A92,A101,0.33333,A122,0.19643,A143,A152,0,A173,0,A192,A202,1
A12,0.14706,A32,A49,0.06383,A63,A75,0,A94,A101,0.33333,A121,0.28571,A143,A152,0,A173,0,A192,A201,1
A12,0.02941,A33,A49,0.06597,A62,A75,0,A91,A101,0.33333,A123,0.21429,A141,A152,0.33333,A173,1,A191,A201,1
A13,0.16176,A32,A46,0.00781,A61,A72,1,A92,A101,1,A122,0.07143,A143,A151,0,A173,0,A192,A201,1
A12,0.20588,A32,A40,0.33069,A61,A74,0.66667,A93,A101,0.66667,A121,0.16071,A143,A151,0,A172,0,A191,A201,1
A14,0.47059,A34,A40,0.41845,A61,A73,1,A92,A101,0.33333,A121,0.10714,A142,A152,0.33333,A173,0,A192,A201,2
A11,0.11765,A32,A43,0.07868,A63,A75,0.66667,A94,A101,0,A121,0.28571,A143,A152,0,A173,0,A191,A201,1
A14,0.64706,A34,A43,0.18312,A65,A75,1,A93,A101,0,A121,0.5,A143,A152,0,A173,0,A192,A201,1
A11,0.55882,A32,A43,0.38098,A65,A74,1,A92,A101,0.66667,A123,0.19643,A143,A152,0,A174,0,A192,A201,2
A11,0.08824,A34,A42,0.10355,A65,A72,0.33333,A92,A102,0.66667,A121,0.14286,A143,A151,0.33333,A173,0,A191,A202,1
A11,0.42647,A34,A42,0.2218,A63,A73,0,A92,A101,1,A123,0.07143,A143,A152,0.33333,A173,0,A191,A201,2
A12,0.11765,A34,A40,0.11643,A63,A74,0.66667,A91,A101,0.66667,A123,0.30357,A143,A152,0,A174,0,A192,A201,1
A11,0.25,A32,A43,0.08721,A61,A73,0.66667,A92,A101,0.33333,A121,0.10714,A143,A152,0.33333,A173,0,A192,A201,2
A14,0.29412,A34,A41,0.19908,A61,A75,1,A92,A101,0.33333,A123,0.39286,A143,A151,0.33333,A174,0,A192,A201,1
A14,0.11765,A32,A42,0.08353,A61,A73,0.66667,A93,A101,0.33333,A121,0.08929,A143,A151,0,A172,0,A191,A201,1
A13,0.08824,A34,A40,0.02922,A61,A75,1,A93,A101,1,A124,0.78571,A143,A153,0.33333,A173,0,A192,A201,1
A12,0.20588,A32,A42,0.09211,A65,A72,1,A92,A101,0.66667,A121,0.14286,A143,A151,0,A173,0,A191,A201,2
A11,0.11765,A34,A40,0.10295,A61,A73,1,A93,A101,0.33333,A122,0.19643,A143,A152,0.33333,A173,0,A191,A201,1
A11,0.11765,A32,A43,0.02482,A61,A73,1,A94,A101,0.33333,A121,0.375,A143,A152,0,A172,0,A191,A201,1
A12,0.11765,A32,A45,0.0214,A61,A73,1,A93,A101,0.33333,A123,0.19643,A143,A152,0,A173,0,A191,A201,2
A12,0.11765,A34,A41,0.08859,A61,A71,1,A93,A101,0.33333,A123,0.26786,A143,A152,0.33333,A174,0,A192,A201,1
A11,0.11765,A34,A40,0.17877,A61,A73,0.66667,A92,A102,0.33333,A121,0.17857,A143,A152,0.33333,A173,0,A191,A201,2
A12,0.64706,A32,A40,0.45323,A65,A74,0,A92,A101,0.33333,A123,0.08929,A143,A152,0,A173,0,A191,A201,1
A11,0.47059,A33,A46,0.36519,A61,A73,1,A93,A101,0.66667,A122,0.17857,A142,A152,0,A173,0,A192,A201,2
A14,0.16176,A32,A42,0.13525,A61,A72,0.33333,A93,A101,0.66667,A122,0.14286,A141,A152,0.33333,A172,0,A191,A201,1
A14,0.20588,A32,A42,0.09541,A61,A73,1,A93,A101,1,A124,0.5,A141,A153,0.33333,A173,0,A191,A201,1
A14,0.82353,A32,A43,0.5444,A62,A74,0.33333,A92,A101,1,A121,0.03571,A143,A152,0,A173,0,A192,A201,1
A14,0.11765,A34,A43,0.05447,A65,A75,1,A92,A101,0.33333,A121,0.33929,A143,A152,0.33333,A173,0,A192,A201,1
A14,0.33824,A33,A41,0.46016,A64,A73,0.33333,A93,A101,0.33333,A123,0.14286,A143,A152,0.33333,A173,0,A191,A201,1
A12,0.11765,A32,A43,0.02839,A63,A73,1,A93,A101,0.66667,A121,0.83929,A143,A152,0,A172,0,A191,A201,2
A12,0.16176,A34,A43,0.13635,A65,A74,1,A93,A103,0.33333,A121,0.28571,A141,A152,0.66667,A173,0,A192,A201,1
A13,0.11765,A32,A43,0.08974,A61,A73,0.33333,A92,A101,0.33333,A123,0.44643,A143,A151,0,A172,0,A192,A201,1
A13,0.02941,A32,A40,0.02526,A64,A72,0.33333,A94,A101,0.33333,A121,0.14286,A143,A152,0,A171,0,A191,A202,1
A12,0.47059,A32,A43,0.25008,A61,A72,1,A92,A101,0,A124,0.19643,A143,A152,0,A174,0,A192,A201,1
A11,0.33824,A32,A43,0.1742,A61,A73,0.66667,A93,A101,0.33333,A123,0.14286,A143,A152,0,A174,0,A191,A201,1
A11,0.20588,A32,A42,0.12171,A61,A73,0.33333,A93,A101,0.33333,A123,0.05357,A143,A152,0,A173,0,A191,A201,2
A14,0.25,A34,A42,0.11214,A61,A72,1,A92,A101,1,A122,0.07143,A143,A152,0,A173,0,A192,A201,1
A12,0.64706,A31,A49,0.18246,A62,A74,1,A93,A101,0.33333,A123,0.19643,A143,A152,0,A173,0,A191,A201,1
A11,0.02941,A34,A40,0.03356,A61,A75,0,A92,A101,1,A124,0.35714,A143,A152,0.33333,A173,0,A192,A201,1
A14,0.11765,A34,A40,0.02377,A62,A74,1,A92,A101,0.66667,A123,0.57143,A143,A152,0.33333,A173,0,A192,A201,1
A11,0.47059,A34,A42,0.28178,A61,A73,0.66667,A93,A103,0.33333,A122,0.16071,A143,A152,0.33333,A173,0,A191,A201,1
A14,0.20588,A34,A43,0.07329,A64,A75,1,A93,A101,1,A123,0.48214,A143,A152,0.33333,A173,0,A191,A201,1
A14,0.02941,A32,A43,0.06031,A62,A75,0.33333,A93,A101,1,A124,0.41071,A141,A153,0,A173,1,A192,A201,1
A14,0.08824,A32,A43,0.09211,A61,A73,0,A93,A101,1,A122,0.33929,A143,A152,0,A173,0,A192,A202,1
A13,0.47059,A32,A43,0.30802,A61,A73,1,A93,A101,0,A123,0.08929,A143,A152,0,A173,0,A191,A201,1
A12,0.29412,A34,A41,0.41312,A64,A75,0.33333,A92,A101,1,A124,0.17857,A143,A151,0,A173,0,A191,A201,1
A12,0.29412,A33,A49,0.36959,A62,A74,1,A93,A101,1,A123,0.30357,A143,A151,0,A174,0,A192,A201,1
A11,0.11765,A32,A42,0.05678,A61,A73,0.33333,A92,A101,1,A123,0.01786,A143,A151,0,A173,0,A191,A201,2
A11,0.07353,A34,A45,0.05711,A62,A75,0.66667,A93,A103,1,A121,0.51786,A143,A152,0.33333,A173,1,A191,A202,1
A11,0.11765,A31,A48,0.0049,A61,A75,1,A94,A101,0,A123,0.46429,A141,A152,0,A172,0,A191,A201,1
A12,0.29412,A32,A40,0.17949,A62,A74,0.33333,A93,A101,0.66667,A123,0.33929,A141,A152,0.33333,A173,0,A192,A201,1
A14,0.02941,A34,A43,0.09068,A65,A73,0,A93,A101,0.33333,A121,0.26786,A143,A152,0.33333,A172,1,A191,A201,1
A14,0.29412,A34,A43,0.14427,A62,A75,0.66667,A93,A101,1,A121,0.30357,A143,A152,0,A173,1,A192,A201,1
A14,0.20588,A34,A40,0.04429,A61,A72,1,A92,A101,0,A122,0.19643,A143,A152,0.33333,A173,0,A191,A201,1
A14,0.16176,A32,A44,0.05568,A63,A74,1,A93,A101,0.66667,A122,0.30357,A143,A152,0.33333,A173,0,A192,A201,1
A12,0.08824,A32,A40,0.38836,A61,A71,0.33333,A93,A101,1,A124,0.91071,A141,A153,0,A174,0,A192,A201,1
A14,0.47059,A32,A40,0.03626,A63,A75,1,A93,A101,1,A122,0.30357,A143,A152,0,A173,0,A191,A201,1
A14,0.02941,A32,A42,0.1501,A63,A73,0,A93,A101,0.33333,A123,0.23214,A143,A152,0,A173,0,A192,A201,1
A11,0.20588,A32,A42,0.04848,A61,A71,1,A92,A101,0.33333,A123,0.25,A143,A152,0,A173,0,A191,A201,2
A12,0.10294,A32,A42,0.07302,A64,A72,1,A92,A101,0,A121,0.01786,A143,A152,0,A173,0,A191,A201,1
A14,0.29412,A32,A42,0.2048,A61,A74,0.33333,A92,A101,1,A122,0.10714,A143,A151,0,A173,0,A192,A201,1
A12,0.29412,A34,A49,0.09271,A61,A75,1,A91,A101,1,A121,0.21429,A143,A152,0.33333,A173,0,A192,A201,2
A11,0.16176,A30,A40,0.03852,A61,A75,1,A93,A101,0.66667,A123,0.25,A143,A151,0.33333,A173,1,A191,A201,2
A14,0.11765,A32,A42,0.02823,A61,A73,1,A92,A101,0,A121,0.125,A143,A152,0,A173,0,A192,A201,1
A12,0.29412,A33,A42,0.09981,A61,A71,0.66667,A92,A101,0.33333,A122,0.26786,A143,A152,0,A174,0,A192,A201,2
A12,0.05882,A32,A43,0.06405,A61,A73,1,A93,A103,0.33333,A121,0.25,A143,A152,0,A173,0,A191,A202,1
A11,0.25,A33,A46,0.17409,A61,A72,0.33333,A93,A101,0,A122,0.125,A143,A152,0.33333,A173,0,A191,A201,2
A14,0.38235,A31,A41,0.3981,A65,A71,1,A92,A101,0,A121,0.60714,A141,A152,0,A174,0,A192,A201,2
A11,0.11765,A32,A42,0.12804,A61,A73,0.33333,A91,A101,0,A123,0.41071,A143,A152,0,A173,0,A191,A201,1
A11,0.02941,A34,A43,0.00484,A63,A75,1,A93,A101,1,A123,0.58929,A143,A152,0.33333,A173,0,A191,A201,1
A14,0.11765,A32,A43,0.09426,A61,A74,1,A93,A101,0.33333,A123,0.21429,A143,A151,0.33333,A174,1,A192,A201,1
A11,0.25,A34,A40,0.01766,A61,A75,1,A93,A101,1,A121,0.82143,A143,A152,0.33333,A173,0,A191,A201,1
A14,0.47059,A33,A49,0.51293,A61,A72,0,A91,A101,0,A123,0.16071,A143,A152,0.33333,A173,0,A191,A201,2
A12,0.47059,A33,A49,0.23137,A61,A73,0.33333,A91,A101,0.33333,A121,0.19643,A142,A152,0.33333,A174,0,A192,A201,2
A11,0.25,A31,A40,0.07687,A65,A73,1,A93,A101,0.33333,A122,0.375,A143,A152,0.33333,A172,1,A191,A201,2
A14,0.29412,A34,A42,0.19407,A64,A73,1,A93,A101,1,A121,0.55357,A143,A152,0,A173,0,A192,A201,1
A12,0.20588,A34,A40,0.03489,A61,A75,1,A93,A101,1,A123,0.30357,A141,A152,0,A173,1,A192,A201,2
A14,0.16176,A34,A43,0.06108,A61,A73,1,A93,A101,0.33333,A122,0.21429,A143,A152,0.33333,A173,0,A191,A201,1
A12,0.07353,A31,A41,0.26846,A61,A75,0.33333,A92,A101,1,A124,0.98214,A141,A153,0,A174,1,A192,A201,2
A12,0.17647,A34,A40,0.0509,A61,A71,0.33333,A93,A101,0.66667,A123,0.875,A143,A153,0.66667,A171,0,A192,A201,1
A11,0.11765,A32,A43,0.02333,A62,A74,1,A94,A101,0,A122,0.01786,A143,A152,0,A173,0,A191,A201,2
A12,0.20588,A30,A42,0.16474,A61,A73,0,A92,A101,1,A123,0.25,A141,A152,0.33333,A173,0,A192,A201,1
A14,0.29412,A32,A49,0.23886,A64,A73,0.33333,A93,A101,0.66667,A122,0.625,A143,A152,0.66667,A174,0,A192,A201,2
A12,0.64706,A30,A49,0.19776,A62,A74,1,A93,A101,1,A124,0.26786,A143,A153,0,A172,1,A191,A201,2
A12,0.33824,A32,A49,0.20166,A61,A73,1,A93,A101,0.33333,A123,0.30357,A143,A152,0,A173,1,A192,A201,2
A14,0.02941,A32,A43,0.10223,A61,A74,0.33333,A94,A101,0.33333,A121,0.17857,A143,A151,0,A173,0,A191,A201,1
A12,0.60294,A32,A43,0.15302,A62,A73,1,A93,A103,1,A122,0.03571,A143,A151,0,A173,0,A191,A201,2
