@relation 'Connectionist Bench Sonar.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute att121 numeric
@attribute att131 numeric
@attribute att141 numeric
@attribute att151 numeric
@attribute att161 numeric
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 numeric
@attribute att201 numeric
@attribute att211 numeric
@attribute att221 numeric
@attribute att231 numeric
@attribute att241 numeric
@attribute att251 numeric
@attribute att261 numeric
@attribute att271 numeric
@attribute att281 numeric
@attribute att291 numeric
@attribute att301 numeric
@attribute att311 numeric
@attribute att321 numeric
@attribute att331 numeric
@attribute att341 numeric
@attribute att351 numeric
@attribute att361 numeric
@attribute att371 numeric
@attribute att381 numeric
@attribute att391 numeric
@attribute att401 numeric
@attribute att411 numeric
@attribute att421 numeric
@attribute att431 numeric
@attribute att441 numeric
@attribute att451 numeric
@attribute att461 numeric
@attribute att471 numeric
@attribute att481 numeric
@attribute att491 numeric
@attribute att501 numeric
@attribute att511 numeric
@attribute att521 numeric
@attribute att531 numeric
@attribute att541 numeric
@attribute att551 numeric
@attribute att561 numeric
@attribute att571 numeric
@attribute att581 numeric
@attribute att591 numeric
@attribute class {M,R}

@data
0.0177,0.02443,0.04501,0.0661,0.06163,0.04891,0.09821,0.04785,0.03672,0.04848,0.02878,0.11137,0.17849,0.09498,0.05989,0.07582,0.08579,0.10951,0.07669,0.04795,0.1407,0.35743,0.40468,0.56019,0.65717,0.722,0.75355,0.85128,0.97159,0.91701,0.76512,0.76443,0.76446,0.61929,0.49074,0.44546,0.39318,0.40532,0.42758,0.39564,0.18668,0.05556,0.10255,0.16349,0.21794,0.09462,0.0728,0.15993,0.11509,0.08848,0.06175,0.07703,0.2987,0.12281,0.11338,0.22821,0.1108,0,0.14325,0.06928,R
0.07965,0.12988,0.05059,0.06063,0.0738,0,0.04031,0.11555,0.15504,0.10325,0.03672,0.08954,0.26515,0.23554,0.18447,0.19031,0.11543,0.25704,0.5607,0.75685,0.77361,0.84818,0.50323,0.34976,0.5874,0.81,1,0.86342,0.6247,0.42378,0.37689,0.24399,0.24572,0.25745,0.25918,0.26391,0.39832,0.436,0.37624,0.26198,0.16468,0.15849,0.06673,0.04342,0.1271,0.11807,0.15791,0.13327,0.06764,0.26303,0.18725,0.17832,0.67532,0.62573,0.1542,0.29231,0.06534,0.20366,0.02204,0.08776,R
0.0472,0.03429,0.01314,0.04565,0.07025,0.11932,0.13393,0.19912,0.13831,0.16116,0.11456,0.14346,0.24327,0.32072,0.32059,0.26064,0.3724,0.6293,0.71292,0.85798,0.96564,0.98436,0.9449,0.79879,0.67551,0.46426,0.27408,0.0564,0.39316,0.1844,0.1551,0.09335,0.13021,0.22671,0.23177,0.35978,0.3314,0.1254,0.06515,0.10588,0.0791,0.0956,0.17988,0.10551,0.09639,0.09092,0.21767,0.20725,0.07673,0.32242,0.17331,0.23966,0.31688,0.22807,0.20862,0.03846,0.15909,0.12586,0.15978,0.06005,R
0.05531,0.024,0.07819,0.10247,0.28658,0.39962,0.36769,0.20551,0.13031,0.25483,0.22785,0.33866,0.55981,0.27998,0.28789,0.52554,0.38058,0.12426,0.26615,0.34792,0.31935,0.43135,0.62001,0.44688,0.59109,0.85571,0.82614,0.76009,0.50091,0.42687,0.53384,0.55841,0.35357,0.35919,0.73427,0.77429,0.38345,0.02953,0.34925,0.65327,0.36479,0.27546,0.28385,0.39307,0.27538,0.2153,0.08674,0.16113,0.0737,0.08242,0.18625,0.07275,0.23377,0.53801,0.1678,0.37949,0.44034,0.11442,0.51791,0.22171,R
0.08038,0.18303,0.1935,0.09296,0.13442,0.06799,0.13474,0.06351,0.14468,0.287,0.19155,0.24399,0.4091,0.18006,0.05627,0.22675,0.34276,0.35678,0.57174,0.60392,0.55744,0.44525,0.41178,0.35365,0.63586,0.88325,0.89264,0.48333,0.32356,0.18504,0.11673,0.36643,0.40565,0.30419,0.28649,0.40615,0.56309,0.38952,0.54059,0.53388,0.32102,0.33529,0.30402,0.29606,0.1642,0.09929,0.11246,0.09524,0.22716,0.20242,0.07769,0.10699,0.13506,0.47953,0.4127,0.12821,0.31534,0.44165,0.4022,0.12933,R
0.2087,0.26104,0.20861,0.20518,0.39259,0.58909,0.57982,0.43616,0.20495,0.10568,0.31008,0.49956,0.37325,0.26328,0.3216,0.42469,0.54803,0.43429,0.40543,0.61826,0.36046,0.18096,0.31546,0.91446,0.93555,0.40742,0.24057,0.6514,0.79992,0.38212,0.51335,0.73669,0.55812,0.91966,0.78143,0.71099,0.79423,0.4178,0.27809,0.33181,0.28361,0.34701,0.06802,0.24053,0.22078,0.22394,0.22673,0.22402,0.22817,0.07758,0.15339,0.03281,0.38442,0.17836,0.46712,0.18462,0.4233,0.10526,0.54821,0.15473,R
0.24853,0.04715,0.05782,0.09772,0.16992,0.29105,0.44643,0.32767,0.20598,0.40026,0.2891,0.29323,0.32906,0.13272,0.34708,0.32017,0.20205,0.18992,0.21029,0.37158,0.27888,0.61057,0.56067,0.32333,0.23781,0.51525,0.80513,0.68516,0.69409,0.85725,0.59379,0.36621,0.65872,0.89931,0.77877,0.75323,0.59458,0.45024,0.09287,0.65033,0.80625,0.72295,0.44368,0.23229,0.33807,0.46956,0.41706,0.20635,0.10904,0.56848,0.4243,0.48217,0.3974,0.42105,0.23356,0.11282,0.26136,0.02746,0.19835,0.14088,R
0.13053,0.25761,0.11925,0.17023,0.33502,0.19,0.14475,0.03616,0.14246,0.15344,0.13441,0.20003,0.48021,0.43374,0.37496,0.56981,0.62968,0.66649,0.70093,0.51477,0.51507,0.62805,0.77207,0.77011,0.56762,0.43408,0.3887,0.22365,0.05804,0,0.1454,0.45933,0.57744,0.3787,0.23238,0.57369,0.92948,0.83456,0.33723,0.32854,0.66427,0.77192,0.35032,0.18281,0.17913,0.17663,0.14306,0.24828,0.26249,0.26182,0.35857,0.46077,0.32727,0.32164,0.23129,0.05128,0.11932,0.0778,0.30579,0.15935,R
0.18805,0.03686,0.04271,0.05231,0.0875,0.17603,0.26867,0.23881,0.10647,0.2012,0.19651,0.16618,0.16943,0.11055,0.21196,0.52839,0.67154,0.54286,0.27341,0.27504,0.41294,0.54739,0.55304,0.60793,0.80861,0.98006,0.98141,0.91416,0.73853,0.75882,0.87095,0.7805,0.65043,0.62226,0.61532,0.59395,0.58649,0.50525,0.26913,0.15458,0.19027,0.24115,0.2854,0.22906,0.19235,0.18829,0.13564,0.14136,0.16406,0.21697,0.04482,0.10842,0.01299,0.02339,0.14059,0.08974,0.33239,0.29519,0.19008,0.18938,R
0.08186,0.06129,0.20565,0.398,0.63353,0.66031,0.78842,0.89416,0.72679,0.8304,0.78591,0.75953,0.76119,0.51985,0.49654,0.69438,0.82302,0.77548,0.81222,0.93183,1,0.92066,0.77101,0.53591,0.44283,0.55083,0.5218,0.37948,0.07488,0.18877,0.16599,0.02056,0.21705,0.19046,0.01084,0.14788,0.09414,0.21452,0.29517,0.33529,0.31164,0.09524,0.16371,0.17792,0.1615,0.07076,0.01322,0.08326,0.18778,0.14667,0.15239,0.11983,0.07792,0.25731,0.26077,0.00513,0.50568,0.20824,0.3168,0.13164,R
0.33776,0.2156,0.26413,0.28388,0.4352,0.79764,0.80492,0.50871,0.55605,0.52138,0.38735,0.39171,0.30474,0.11736,0.15558,0.23082,0.42742,0.58068,0.65748,0.78264,0.82283,0.7764,0.8544,0.73046,0.39775,0.18449,0.30581,0.36064,0.44075,0.60381,0.75935,0.7778,0.7589,0.81166,0.59579,0.58266,0.65974,0.71706,0.62355,0.56634,0.42953,0.21184,0.21014,0.32556,0.27054,0.22532,0.10938,0.06259,0.22009,0.21212,0.10657,0.26391,0.29351,0.15789,0.08163,0.12821,0.13068,0.18078,0.07438,0.0485,R
0.47861,0.24389,0.27168,0.07466,0.09916,0.17979,0.19968,0.23705,0.33733,0.24668,0.3658,0.57049,0.49849,0.17645,0.28177,0.39457,0.56865,0.6667,0.58826,0.4497,0.28815,0.18342,0.16096,0.14824,0.22992,0.19991,0.26295,0.44988,0.6946,0.7309,0.8146,0.85116,0.65505,0.7133,0.73816,0.81542,0.93604,1,0.88362,0.75643,0.74615,0.71331,0.59718,0.46882,0.21211,0.16676,0.23651,0.35879,0.29177,0.28485,0.13446,0.18973,0.48052,0.09649,0.06803,0.05641,0.05966,0.36384,0.29752,0.16859,R
0.06195,0.20489,0.0933,0.05682,0.14836,0.26203,0.63041,0.51378,0,0.25297,0.16546,0.24267,0.43069,0.11003,0.21446,0.23367,0.2321,0.25049,0.18977,0,0.09791,0.09815,0.11709,0.15818,0.2291,0.18163,0.0583,0.52203,0.7082,0.60488,0.46583,0.63031,0.70682,0.63826,0.56275,0.7503,0.91417,0.92222,0.9844,1,1,0.9591,0.72417,0.36563,0.62653,0.75521,0.78432,0.87002,1,0.94424,0.39442,0.23538,0.37403,0.30702,0.44444,0.34615,0.07386,0.35927,0.28926,0.29561,R
0.07375,0.06172,0.03975,0.00428,0.03652,0.25692,0.26786,0.0849,0.12676,0.0888,0.06394,0.05657,0.12538,0.09384,0.16953,0.24649,0.29873,0.35761,0.39438,0.3811,0.41495,0.39423,0.29066,0.38654,0.43299,0.47329,0.74283,0.94885,1,0.90242,0.85025,0.8051,0.71249,0.62957,0.55815,0.57228,0.54373,0.342,0.13683,0.08159,0.03312,0.22405,0.34695,0.37194,0.33281,0.22874,0.18381,0.35789,0.35538,0.20242,0.10657,0.1184,0.02857,0.21637,0.13152,0.05641,0.07386,0.0778,0.19008,0.08083,R
0.20501,0.27347,0.12319,0.02734,0.10373,0.19188,0.25974,0.05733,0.09788,0.10682,0.01772,0.03458,0.09371,0.06858,0.14395,0.06585,0.086,0.18743,0.29792,0.27847,0.16853,0.21296,0.29649,0.41184,0.44764,0.18559,0.04129,0.26534,0.55418,0.82359,0.82986,0.76904,0.79502,0.97753,1,0.89516,0.56473,0.27597,0.20736,0.24673,0.34256,0.45971,0.20367,0.28704,0.22491,0.19652,0.29591,0.33932,0.28622,0.16121,0.16932,0.03852,0.12208,0.21345,0.16327,0.18205,0.28977,0.35927,0.25895,0.01155,R
0.13717,0.00857,0.04041,0.00095,0.01674,0.01317,0.13745,0.03418,0.06368,0.14071,0.07826,0.10346,0.14683,0.01516,0,0,0.02849,0.18203,0.30949,0.33786,0.34918,0.46468,0.6093,0.74624,0.86424,0.86651,0.77949,0.8309,0.96256,0.95941,0.95411,0.95473,0.96934,1,0.78439,0.52692,0.2588,0.16325,0.10573,0.32549,0.39722,0.49438,0.43385,0.38624,0.39067,0.27756,0.18888,0.13567,0.17012,0.14788,0.07171,0.14265,0.16883,0.15497,0.05442,0.01795,0.01136,0.04805,0.15427,0.08776,R
0.10029,0.13459,0.19185,0.23585,0.27796,0.43859,0.44535,0.23462,0.12054,0.15616,0.07912,0.18787,0.30531,0.25987,0.33835,0.44423,0.68397,0.87605,0.911,0.73694,0.65599,0.70821,0.82357,0.76447,0.69191,0.61923,0.47894,0.47777,0.49188,0.37797,0.12523,0,0.0168,0.29147,0.34632,0.18004,0.01367,0.11584,0.21442,0.20294,0.326,0.28364,0.22191,0.20085,0.22121,0.05787,0.08928,0.14256,0.11055,0.07152,0.08566,0.07561,0.02597,0.21637,0.27664,0.12821,0.02273,0.03661,0.06061,0.12933,R
0.11947,0.12602,0.08968,0.07989,0.14278,0.11395,0.17722,0.12745,0.0813,0.0715,0.19722,0.47479,0.63006,0.50686,0.62965,0.71636,0.49777,0.35771,0.22617,0.28778,0.45879,0.65525,0.72332,0.91937,1,0.75218,0.53703,0.60601,0.86151,0.63694,0.46736,0.51438,0.29959,0.30355,0.27135,0.21633,0.04844,0.02288,0.07147,0.05327,0.1355,0.11319,0.21247,0.24491,0.15738,0.26289,0.26566,0.1174,0.17971,0.32727,0.16733,0.13409,0.3039,0.09942,0.15646,0.30769,0.27273,0.12357,0.0854,0.03002,R
0.06268,0.1153,0.05749,0.07442,0.08851,0.02661,0.07603,0.13142,0.26966,0.36537,0.43769,0.44637,0.32359,0.10261,0.12509,0.43548,0.66791,0.69361,0.78603,0.93589,0.98493,0.81525,0.55378,0.63057,0.69703,0.6558,0.37819,0.15716,0.19481,0.35198,0.36065,0.184,0.18377,0.33164,0.38468,0.50373,0.5667,0.30872,0.24794,0.2354,0.19502,0.23565,0.10798,0.11698,0.19619,0.26714,0.2193,0.25247,0.29732,0.29939,0.11753,0.11412,0.25714,0.07602,0.18594,0.11026,0.32386,0.0389,0.24793,0.12009,R
0.12832,0.12945,0.05979,0.13409,0.0033,0.18463,0.38068,0.30783,0.25381,0.34449,0.32865,0.50909,0.53577,0.2474,0.26933,0.40922,0.68791,0.55668,0.1822,0.21137,0.73366,0.72017,0.29988,0.26483,0.59559,0.54808,0.47127,0.85755,0.83147,0.36977,0.19466,0.15064,0.00315,0.14584,0.28813,0.12994,0.13711,0.17448,0.03827,0.00926,0.148,0.18645,0.23665,0.24298,0.1433,0.09092,0.03314,0.12099,0.05452,0.17333,0.09064,0.0428,0.23636,0.38596,0.41723,0.34872,0.27273,0.20366,0.1405,0.15935,R
0.16593,0.09087,0.10151,0.12149,0.0667,0.11045,0.23377,0.14509,0.07315,0.03947,0.23323,0.3221,0.39182,0.24059,0.37918,0.49206,0.27624,0.34078,0.66242,0.71179,0.4786,0.43165,0.68072,0.80873,0.77264,0.88358,0.88749,0.88812,0.85897,0.79365,0.55128,0.22939,0.31314,0.1487,0.22952,0.55282,0.47343,0.06197,0.12766,0.06906,0.34291,0.45043,0.34476,0.13888,0.20159,0.23135,0.13365,0.18988,0.07269,0.27394,0.06076,0.21969,0.36623,0.24269,0.24036,0.23077,0.14489,0.03661,0.17906,0.03926,R
0.05088,0.06301,0.09067,0.08892,0.22419,0.17468,0.10308,0.04498,0.09137,0.23452,0.23834,0.13643,0.21578,0.05579,0.21547,0.50468,0.71309,0.76894,0.60257,0.30447,0.33948,0.24568,0.34047,0.72964,0.86404,0.80427,0.76594,0.77995,0.55885,0.32193,0.33264,0.38879,0.30379,0.15697,0.24588,0.31401,0.11338,0.06915,0.1381,0.19532,0.09427,0.10708,0.11069,0.12252,0.14018,0.1311,0.07715,0.12189,0.05351,0.21697,0.05578,0.32525,0.28312,0.36842,0.2517,0.14359,0.15625,0.06407,0.19559,0.09007,R
0.13274,0.08873,0.01413,0.03138,0.06391,0.12604,0.26272,0.13517,0.09122,0.01845,0.06224,0.05906,0.40564,0.36929,0.47507,0.45186,0.29282,0.39325,0.62424,1,0.85571,0.51048,0.27477,0.58529,0.76762,0.56405,0.40908,0.53551,0.46429,0.59891,0.36719,0.13323,0.3585,0.53863,0.33558,0.44355,0.40346,0.48331,0.64347,0.58562,0.3692,0.24078,0.24337,0.10886,0.18695,0.21805,0.10177,0.18479,0.17314,0.44848,0.25996,0.21255,0.17922,0.76316,0.44671,0.21795,0.26136,0.21053,0.0551,0.10855,R
0.3149,0.20189,0.01117,0.12435,0.05351,0.1548,0.44129,0.31643,0.13313,0.16517,0.11626,0.31345,0.26242,0.19253,0.10814,0.19072,0.21956,0.65527,0.8259,0.81293,0.791,0.89592,0.9644,0.84786,0.6543,0.25553,0.16525,0.55424,0.56636,0.45425,0.76839,0.80836,0.49438,0.4142,0.54587,0.55333,0.1077,0.35853,0.44697,0.45893,0.25431,0.17216,0.45118,0.34257,0.13421,0.18788,0.24339,0.12459,0.36295,0.77212,0.20916,0.2796,0.54805,0.3655,0.11111,0.17692,0.21875,0.23341,0.15978,0.22864,R
0.21829,0.20789,0.2224,0.18379,0.00304,0.02634,0.25649,0.21191,0.28876,0.09352,0.20956,0.33983,0.37829,0.25255,0.32059,0.33595,0.52285,0.78296,0.90154,0.86098,0.75464,0.27993,0.37989,0.59461,0.30102,0.28208,0.59639,0.7992,0.62348,0.46724,0.58289,0.70276,0.38297,0.11108,0.23156,0.46331,0.55008,0.28772,0.18638,0.18856,0.15275,0.27741,0.13126,0.09186,0.08743,0.10683,0.13781,0.25307,0.29884,0.08242,0.08865,0.1127,0.07013,0.35088,0.4127,0.24872,0.64205,0.40961,0.12397,0.0739,R
0.14086,0.05401,0.17017,0.12149,0.1471,0.35743,0.35471,0.43793,0.22153,0.20878,0.28896,0.22699,0.19044,0.16943,0.20363,0.2183,0.20837,0.096,0.34904,0.55672,0.42,0.47613,1,0.86426,0.45881,0.48684,0.60048,0.70595,0.55408,0.33184,0.21787,0.17041,0.09545,0.32994,0.27207,0.31734,0.24667,0.1723,0.21347,0.13094,0.03741,0.03394,0.09259,0.12574,0.11189,0.07159,0.09055,0.06918,0.11156,0.17455,0.30578,0.53923,0.36883,0.02339,0.21315,0.2359,0.21023,0.40503,0.29752,0.14781,R
0.05826,0.06858,0.12582,0.07156,0.15572,0.16232,0.26705,0.18479,0.04531,0.17375,0.14377,0.00542,0.06622,0.04527,0.11766,0.05648,0.09066,0.20509,0.33558,0.3491,0.46511,0.8766,0.95825,0.87563,0.68289,0.66263,0.54554,0.64389,0.77699,0.74166,0.58354,0.66412,0.80132,0.93556,0.86161,0.66683,0.40192,0.20661,0.24394,0.38617,0.33665,0.26178,0.38743,0.28408,0.16534,0.08708,0.08421,0.12639,0.08783,0.20848,0.13347,0.18973,0.48312,0.39474,0.13379,0.32051,0.60795,0.19222,0.20937,0.2679,R
0.23451,0.09216,0.08377,0.10057,0.15521,0.23623,0.21916,0.24631,0.10129,0.1154,0.16816,0.04191,0.13459,0.07188,0.11466,0.15428,0.13398,0.08623,0,0.09503,0.31334,0.60597,0.90951,0.93484,0.86445,0.86474,0.84799,0.87989,1,0.81847,0.66692,0.57234,0.55014,0.7045,0.67526,0.51028,0.2623,0.10138,0.12439,0.27549,0.18923,0.22308,0.3551,0.2127,0.08175,0.09531,0.10829,0.13657,0.0106,0.08242,0.03586,0.01997,0.07013,0.1462,0.10884,0.15128,0.39773,0.29519,0.13774,0.08083,R
0.07965,0.00686,0.05946,0.03519,0.02866,0.10481,0,0.07563,0.10603,0.05177,0.12236,0.04162,0.1451,0.17222,0.18146,0.19489,0.16651,0.13039,0.07616,0.03863,0.08874,0.30038,0.43255,0.58058,0.66967,0.79282,0.8523,0.92054,0.83634,0.70576,0.63324,0.53662,0.436,0.5345,0.50363,0.388,0.10147,0.00291,0.05144,0.11046,0.10955,0.20769,0.34243,0.25187,0.09326,0.07954,0.05777,0.09015,0.1373,0.0897,0.14841,0.1669,0.33506,0.04678,0.07256,0.0359,0.3125,0.12586,0.12672,0.15012,R
0.05605,0.08873,0.06275,0.10628,0.14963,0.18624,0.25352,0.18015,0.09892,0.10353,0.1829,0.09701,0.01799,0.16325,0.29471,0.19031,0.09481,0.13299,0.12276,0.15357,0.1895,0.4336,0.64332,0.68579,0.76055,0.8024,0.68999,0.74887,0.7429,0.61511,0.47564,0.32847,0.51234,0.90397,0.85405,0.66915,0.3384,0.28772,0.24573,0.27026,0.27585,0.43199,0.56666,0.31693,0.10776,0.02564,0.14433,0.22402,0.18526,0.18788,0.2988,0.14836,0.27792,0.26901,0.04535,0.23846,0.26989,0.09153,0.19284,0.23557,R
0.03909,0.09687,0.1636,0.09177,0.04616,0.14378,0.10525,0.23705,0.27188,0.33777,0.18673,0.10053,0.3187,0.30391,0.42773,0.25341,0.03285,0.11086,0.19766,0.20751,0.20879,0.37665,0.61683,0.79889,0.69529,0.65569,0.68453,0.85159,1,0.95963,0.92796,0.80555,0.67468,0.58018,0.42682,0.4502,0.28515,0.12519,0.1381,0.07898,0.09415,0.20733,0.35277,0.21966,0.02758,0.02921,0.06411,0.12579,0.04695,0.24727,0.19821,0.23538,0.41039,0.13158,0.08844,0.1641,0.10795,0.11213,0.53168,0.22864,R
0.05752,0.07673,0.01347,0.00143,0.04895,0.09567,0.11824,0.00044,0.05183,0.07536,0.08493,0.19974,0.19534,0.2573,0.21517,0.26837,0.32556,0.25444,0.20882,0.25139,0.39924,0.4565,0.41931,0.49042,0.6124,0.62232,0.64618,0.72427,0.85126,1,0.86823,0.66839,0.61231,0.63582,0.6907,0.58347,0.49617,0.34314,0.17626,0.14728,0.2154,0.17009,0.19268,0.15602,0.16264,0.10848,0.0661,0.04552,0.04291,0.14545,0.02191,0.08702,0.15325,0.34795,0.2449,0.12821,0.24432,0.10755,0.15702,0.04388,R
