@relation Ecoli.arff

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute class {cp,im,pp,imU,om,omL,imL,imS}

@data
0.4382,0.29762,0,0,0.59091,0.71134,0.75758,im
0.39326,0.41667,0,0,0.69318,0.70103,0.74747,im
0.34831,0.33333,0,0,0.56818,0.78351,0.82828,im
0.68539,0.59524,0,0,0.52273,0.86598,0.88889,im
0.53933,0.39286,0,0,0.59091,0.76289,0.71717,im
0.1236,0.40476,0,0,0.65909,0.71134,0.68687,im
0.34831,0.2381,0,0,0.65909,0.93814,0.94949,im
0.76404,0.41667,0,0,0.80682,0.74227,0.78788,im
0.77528,0.27381,0,0,0.64773,0.75258,0.79798,im
0.58427,0.45238,0,0,0.70455,0.75258,0.79798,im
0.51685,0.5119,0,0,0.40909,0.75258,0.23232,im
0.40449,0.34524,0,0,0.43182,0.78351,0.17172,im
0,0.41667,0,0,0.39773,0.65979,0.44444,im
0.11236,0.39286,0,0,0.46591,0.65979,0.21212,im
0.33708,0.41667,0,0,0.47727,0.59794,0.34343,im
0.68539,0.36905,0,0,0,0.79381,0.32323,im
0.70787,0.70238,0,0,0.72727,0.72165,0.66667,im
0.79775,0.42857,0,0,0.72727,1,1,im
0.95506,0.44048,0,0,0.60227,0.50515,0.35354,imS
0.70787,0.39286,0,0,0.61364,0.75258,0.79798,imS
0.8427,0.46429,1,1,0.45455,0.45361,0.30303,imL
0.78652,0.27381,1,0,0.57955,0.81443,0.84848,imL
0.80899,0.30952,0,0,0.73864,0.76289,0.79798,imU
0.88764,0.29762,0,0,0.75,0.80412,0.83838,imU
0.93258,0.38095,0,0,0.73864,0.75258,0.79798,imU
0.77528,0.32143,0,0,0.67045,0.73196,0.77778,imU
0.88764,0.2381,0,0,0.52273,0.81443,0.70707,imU
0.8764,0.20238,0,0,0.64773,0.76289,0.79798,imU
0.8427,0.25,0,0,0.72727,0.69072,0.74747,imU
0.66292,0.15476,0,0,0.72727,0.74227,0.77778,imU
0.75281,0.25,0,0,0.61364,0.62887,0.68687,imU
0.74157,0.38095,0,0,0.61364,0.69072,0.74747,imU
0.7191,0.35714,0,0,0.54545,0.72165,0.76768,imU
0.85393,0.65476,0,0,0.56818,0.70103,0.75758,imU
0.94382,0.39286,0,0,0.625,0.7732,0.74747,imU
0.86517,0.46429,0,0,0.57955,0.7732,0.74747,imU
0.91011,0.33333,0,0,0.47727,0.65979,0.68687,imU
0.65169,0.52381,0,0,0.67045,0.72165,0.76768,imU
0.70787,0.30952,0,0,0.54545,0.76289,0.80808,imU
0.69663,0.30952,0,0,0.65909,0.78351,0.81818,imU
0.96629,0.27381,0,0,0.67045,0.8866,0.90909,imU
0.91011,0.44048,0,0,0.64773,0.86598,0.88889,imU
0.97753,0.39286,0,0,0.69318,0.75258,0.79798,imU
0.52809,0.35714,0,0,0.70455,0.73196,0.77778,imU
0.85393,0.29762,0,0,0.56818,0.57732,0.62626,imU
0.78652,0.44048,0,0,0.79545,0.85567,0.87879,imU
0.7191,0.34524,0,0,0.76136,0.59794,0.66667,imU
0.91011,0.42857,0,0,0.64773,0.7732,0.80808,imU
0.82022,0.11905,0,0,0.64773,0.74227,0.78788,imU
0.55056,0.53571,1,0,0.63636,0.70103,0.74747,imU
0.98876,0.30952,0,0,0.59091,0.72165,0.75758,imU
0.94382,0.45238,0,0,0.85227,0.91753,0.70707,imU
0.70787,0.41667,0,0,0.72727,0.71134,0.76768,imU
0.96629,0.46429,0,0,0.71591,0.80412,0.83838,imU
0.88764,0.45238,0,0,0.56818,0.64948,0.68687,imU
0.64045,0.2619,0,0,0.06818,0.47423,0.33333,imU
0.8764,0.33333,0,0,0.51136,0.72165,0.68687,imU
0.8764,0.61905,0,0,0.94318,0.38144,0.29293,om
0.70787,0.63095,0,0,0.73864,0.39175,0.28283,om
0.75281,0.85714,0,0,0.82955,0.48454,0.25253,om
0.68539,0.70238,0,0,0.57955,0.30928,0.33333,om
0.75281,0.80952,0,0,0.84091,0.52577,0.37374,om
0.83146,0.88095,0,0,0.64773,0.51546,0.29293,om
0.82022,0.80952,0,0,0.97727,0.56701,0.29293,om
0.8427,0.71429,0,0,0.94318,0.5567,0.30303,om
0.86517,0.4881,0,0,1,0.51546,0.20202,om
0.83146,0.7381,0,0,0.85227,0.52577,0.15152,om
0.76404,0.71429,0,0,0.95455,0.43299,0.27273,om
0.62921,0.61905,0,0,0.875,0.34021,0.45455,om
0.73034,0.41667,0,0,0.75,0.52577,0.33333,om
0.58427,0.77381,0,0,0.81818,0.36082,0.38384,om
0.7191,0.4881,0,0,0.79545,0.30928,0.26263,om
0.67416,0.71429,1,0,0.875,0.57732,0.52525,om
0.77528,0.5119,0,0,0.875,0.37113,0.21212,om
0.70787,0.39286,0,0,0.89773,0.43299,0.28283,om
0.79775,0.65476,0,0,0.77273,0.41237,0.36364,om
0.76404,0.55952,0,0,0.82955,0.38144,0.30303,om
0.86517,0.4881,1,0,0.42045,0.52577,0.0101,omL
0.74157,0.39286,1,0,0.61364,0.54639,0.36364,omL
0.79775,0.35714,1,0,0.59091,0.57732,0.30303,omL
0.75281,0.46429,1,0,0.75,0.56701,0.16162,omL
0.76404,0.39286,1,0,0.70455,0.53608,0.28283,omL
0.83146,0.39286,0,0,0.47727,0.52577,0.36364,pp
0.78652,0.53571,0,0,0.63636,0.50515,0.43434,pp
0.74157,0.83333,0,0,0.38636,0.39175,0.36364,pp
0.82022,0.7381,0,0,0.65909,0.49485,0.31313,pp
0.73034,0.4881,0,0,0.53409,0.45361,0.51515,pp
0.80899,0.83333,0,0,0.19318,0.53608,0.21212,pp
0.75281,0.64286,0,0,0.52273,0.43299,0.33333,pp
0.75281,0.77381,0,0,0.61364,0.47423,0.23232,pp
0.75281,0.53571,0,0,0.57955,0.35052,0.38384,pp
0.70787,1,0,0,0.39773,0.49485,0.49495,pp
0.64045,0.5119,0,0,0.44318,0.45361,0.33333,pp
0.79775,0.65476,0,0,0.45455,0.52577,0.39394,pp
0.74157,0.69048,0,0,0.35227,0.36082,0.43434,pp
0.75281,0.77381,0,0,0.28409,0.40206,0.25253,pp
0.7191,0.66667,0,0,0.55682,0.40206,0.19192,pp
0.76404,0.78571,0,0,0.43182,0.63918,0.56566,pp
0.35955,0.27381,0,0,0.60227,0.25773,0.38384,pp
0.78652,0.57143,0,0,0.53409,0.49485,0.47475,pp
0.70787,0.4881,0,0,0.55682,0.69072,0.20202,pp
0.83146,0.78571,0,0,0.55682,0.47423,0.41414,pp
0.70787,0.83333,0,0,0.44318,0.45361,0.34343,pp
0.70787,0.79762,0,0,0.45455,0.37113,0.19192,pp
0.70787,0.65476,0,0,0.68182,0.38144,0.39394,pp
0.79775,0.83333,0,0,0.45455,0.52577,0.32323,pp
0.76404,0.7381,0,0,0.48864,0.42268,0.42424,pp
0.7191,0.80952,0,0,0.42045,0.43299,0.40404,pp
0.83146,0.36905,0,0,0.56818,0.5567,0.42424,pp
0.8427,0.80952,0,0,0.39773,0.50515,0.33333,pp
0.70787,0.58333,0,0,0.44318,0.42268,0.35354,pp
0.77528,0.60714,0,0,0.34091,0.37113,0.24242,pp
0.78652,0.65476,0,0,0.47727,0.83505,0.85859,pp
0.77528,0.7619,0,0,0.52273,0.5567,0.26263,pp
0.7191,0.59524,0,0,0.46591,0.37113,0.20202,pp
0.70787,0.7619,0,0,0.52273,0.28866,0.29293,pp
0.74157,0.65476,0,0,0.46591,0.48454,0.35354,pp
0.77528,0.5119,0,0,0.52273,0.42268,0.52525,pp
0.76404,0.60714,0,0,0.55682,0.38144,0.34343,pp
0.7191,0.7381,0,0,0.56818,0.34021,0.38384,pp
0.69663,0.7381,0,0,0.53409,0.47423,0.54545,pp
0.85393,0.67857,0,0,0.5,0.37113,0.39394,pp
0.7191,0.77381,0,0,0.42045,0.37113,0.44444,pp
0.32584,0.27381,0,0,0.59091,0.38144,0.48485,pp
0.69663,0.79762,0,0,0.52273,0.34021,0.40404,pp
0.62921,0.45238,0,0,0.48864,0.35052,0.30303,pp
0.77528,0.59524,0,0,0.46591,0.48454,0.25253,pp
0.77528,0.58333,0,0,0.71591,0.46392,0.41414,pp
0.48315,0.5119,0,0,0.59091,0.47423,0.56566,pp
0.83146,0.47619,0,0,0.53409,0.6701,0.30303,pp
0.79775,0.4881,0,0,0.54545,0.3299,0.32323,pp
0.68539,0.52381,0,0,0.5,0.37113,0.38384,pp
0.66292,0.53571,0,0,0.47727,0.40206,0.37374,pp
0.83146,0.69048,0,0,0.35227,0.51546,0.52525,pp
