@relation 'Planning Relax.arff'

@attribute att01 numeric
@attribute att11 numeric
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 numeric
@attribute att61 numeric
@attribute att71 numeric
@attribute att81 numeric
@attribute att91 numeric
@attribute att101 numeric
@attribute att111 numeric
@attribute class {1,2}

@data
0.9897,0.54424,0.41414,0.64953,0.4243,0.51284,0.92251,0.62898,0.74231,0.79279,0.25626,0.61752,1
0.8545,0.56086,0.66333,0.81986,0.59552,0.59848,0.72709,0.77685,0.56081,0.47355,0.65429,0.487,2
0.75202,0.52949,0.79394,0.74099,0.8352,0.52718,0.70614,0.75839,0.58188,0.55629,0.54307,0.55255,1
0.7555,0.31014,0.46601,0.44303,0.6208,0.36992,0.57962,0.64004,0.56132,0.44107,0.67666,0.45782,1
0.63877,0.14517,0.62661,0.4355,0.97526,0.16934,0.56124,0.49955,0.58828,0.56433,0.54004,0.52193,1
0.88192,0.47676,0.4056,0.42376,0.50238,0.45175,0.79602,0.73949,0.48511,0.44867,0.65564,0.5756,2
0.73944,0.32412,0.63938,0.61117,0.83747,0.33378,0.61545,0.85862,0.52168,0.25615,0.88201,0.35787,1
0.5753,0.47729,0.81671,0.62181,0.91733,0.50236,0.57078,0.41361,0.84712,0.84819,0.18633,0.52636,1
0.82156,0.50456,0.74141,0.65497,0.76246,0.54628,0.70259,0.64872,0.4429,0.4843,0.63535,0.61236,1
0.70647,0.63707,0.28288,0.67148,0.09371,0.70405,0.59526,0.57326,0.69008,0.65505,0.42736,0.52454,2
0.99172,0.89721,0.37187,0.69011,0.08368,0.86537,1,0.34758,0.49687,0.69997,0.38922,0.74556,1
0.44668,0.80071,0.82251,0.91516,0.57851,0.88284,0.40846,0.49454,0.80159,0.70819,0.35816,0.46181,1
0.36141,0.55596,0.80145,0.68526,0.84202,0.5945,0.33723,0.61184,0.84521,0.57546,0.49558,0.31167,1
0.58629,0.47645,0.51618,0.53783,0.61204,0.47157,0.63264,0.17516,0.52285,0.61139,0.46443,0.67839,2
0.46454,0.75714,0.57606,0.7305,0.3829,0.7976,0.53547,0.14454,0.6615,0.82638,0.20999,0.7415,1
0.66564,0.23671,0.45628,0.12388,0.84592,0.19977,0.63111,0.49881,0.6263,0.65493,0.4338,0.55422,1
0.62133,0.61037,0.48786,0.47561,0.485,0.60817,0.63464,0.38968,0.68067,0.74017,0.3151,0.61461,1
0.5546,0.36474,0.29485,0.14747,0.44199,0.42523,0.42508,0.57665,0.79882,0.69046,0.38309,0.42693,2
0.62927,0.05829,0.49799,0.18228,0.90243,0.1017,0.49701,0.70848,0.56603,0.66407,0.43337,0.63661,1
0.67368,0.28404,0.45715,0.37874,0.68056,0.31714,0.58499,0.37015,0.41659,0.49116,0.6373,0.64247,1
0.4242,0.16188,0.39976,0.52586,0.61986,0.2462,0.3557,0.32404,0.40377,0.57708,0.52351,0.7673,1
0.58375,0.4844,0.58149,0.65355,0.63359,0.49946,0.55699,0.60452,0.45726,0.48024,0.63473,0.59852,2
0.73124,0.24195,0.55424,0.36536,0.84905,0.21885,0.75606,0.30287,0.30948,0.60907,0.49405,0.86716,1
0.76936,0.44151,0.44739,0.51065,0.56818,0.40419,0.7519,0.6899,0.61987,0.43852,0.6718,0.39609,1
1,0.5385,0.3347,0.54683,0.35606,0.50674,0.92519,0.50122,0.48926,0.19148,0.9586,0.30506,1
0.62044,0.79875,0.55458,0.78997,0.28014,0.85815,0.62318,0.18739,0.77938,0.68069,0.36835,0.46848,2
0.43468,0.61645,0.60275,0.63425,0.49977,0.70666,0.39003,0.27019,0.76998,0.65146,0.40954,0.45324,1
0.76952,0.58228,0.13966,0.31663,0.09251,0.597,0.69264,0.47814,0.88304,0.92114,0.12244,0.53064,1
0.59267,0.40271,0.28596,0.32928,0.43121,0.40823,0.54249,0.52089,0.72207,0.71779,0.36153,0.52138,1
0.63532,0.95893,0.6022,0.80845,0.3069,0.93441,0.73599,0.31382,0.72516,0.68493,0.40158,0.44165,2
0.2313,0.73891,0.61195,0.67588,0.44424,0.82395,0.25779,0.15295,0.86767,0.86076,0.18964,0.46386,1
0.60396,0.56963,0.41661,0.37094,0.51791,0.50957,0.65581,0.50016,0.66813,0.48233,0.61617,0.36458,1
0.65738,0.57727,0.32471,0.47651,0.33034,0.54655,0.70124,0.39383,0.78452,0.71543,0.34618,0.4456,1
0.59369,0.43781,0.6947,0.61979,0.8155,0.45152,0.55932,0.55883,0.84707,0.65842,0.41541,0.3246,2
0.71354,0.51468,0.60121,0.47644,0.75659,0.46623,0.72741,0.38724,0.92472,0.70142,0.36266,0.27889,1
0.51964,0.30156,0.4014,0.32025,0.56055,0.38402,0.3722,0.64414,0.6291,0.58593,0.50584,0.53106,1
0.65369,0.45815,0.51065,0.45835,0.55998,0.52646,0.51206,0.55227,0.75877,0.55809,0.52883,0.37468,1
0.55826,0.32934,0.53017,0.39269,0.72947,0.36891,0.4471,0.66721,0.49141,0.37143,0.75511,0.49261,2
0.58021,0.0005,0.19034,0.0102,0.62123,0.06313,0.36807,0.82616,0.39047,0.45711,0.65649,0.71032,1
0.55466,0.54925,0.60804,0.62696,0.55701,0.64784,0.38816,0.66826,0.84401,0.6237,0.46197,0.33585,1
0.68386,0.57676,0.60901,0.74753,0.5009,0.65067,0.51619,0.98063,0.44643,0.20799,0.9629,0.36791,1
0.62453,0.68313,0.54189,0.89128,0.31094,0.76976,0.50574,0.726,0.44474,0.2934,0.8511,0.48706,2
0.75737,0.83989,0.45966,0.85933,0.01454,0.98726,0.53749,0.74626,0.7647,0.76719,0.31915,0.51483,1
0.83504,0.46111,0.64138,0.57833,0.77598,0.425,0.85217,0.30718,0.62924,0.58235,0.50522,0.50629,1
0.90131,0.37893,0.55033,0.51734,0.74664,0.32928,0.88727,0.51319,0.49724,0.43096,0.67354,0.55095,1
0.69696,0.18662,0.3951,0.44123,0.6719,0.21491,0.5633,0.68223,0.70884,0.53699,0.54683,0.41866,2
0.67463,0.54285,0.78885,1,0.70086,0.58787,0.70468,0.23109,0.83765,0.76869,0.2654,0.45345,1
0.50077,0.54453,0.27367,0.22044,0.3331,0.56176,0.43489,0.6374,0.5412,0.49292,0.60567,0.55434,1
0.72151,0.6002,0.39904,0.53521,0.4367,0.53739,0.77368,0.49346,0.88456,0.82132,0.21619,0.47023,1
0.87631,0.52372,0.34254,0.53376,0.38832,0.47966,0.84152,0.66853,0.67826,0.60634,0.47466,0.49317,2
0.81704,0.409,0.2009,0.45703,0.2324,0.44724,0.68282,0.65226,0.67412,0.69126,0.37851,0.6004,1
0.58288,0.79091,0.61022,0.70534,0.4402,0.78511,0.7035,0.0696,0.39702,0.70203,0.3728,0.8646,1
0.50897,0.78896,0.57194,0.62044,0.42272,0.78146,0.62959,0.11193,0.15669,0.60589,0.51007,1,1
0.63205,0.46062,0.281,0.5273,0.26105,0.52755,0.51286,0.5827,0.7108,0.66044,0.41358,0.50545,2
0.74227,0.53688,0.49439,0.472,0.55386,0.53656,0.63496,0.78053,0.6015,0.50443,0.62121,0.43747,1
0.42198,0.08309,0.12929,0.06915,0.55742,0.07552,0.38432,0.61207,0.57854,0.5593,0.52726,0.5696,1
0.60838,0.22833,0.43998,0.38541,0.63554,0.31052,0.43937,0.72828,0.59987,0.63164,0.44569,0.60846,1
0.67735,0.3681,0.3391,0.31613,0.54291,0.33508,0.67665,0.51521,0.7208,0.63273,0.43885,0.45983,2
0.61504,0.42092,0.49375,0.54457,0.58295,0.45981,0.51225,0.65698,0.47761,0.44654,0.68249,0.54489,1
0.85608,0.52535,0.52452,0.62632,0.5814,0.48506,0.84132,0.59141,0.85013,0.66282,0.39663,0.36441,1
0.85839,0.34171,0.61422,0.44709,0.88363,0.2833,0.82676,0.68449,0.76136,0.6162,0.45645,0.42639,1
0.75969,0.72751,0.32184,0.42364,0.22907,0.69981,0.76032,0.45731,0.84683,0.76774,0.2738,0.46724,2
0.51171,0.67259,0.15047,0.16753,0.12962,0.65275,0.53327,0.45561,0.95846,0.91325,0.11196,0.45392,1
0.52342,0.41775,0.30249,0.54349,0.31819,0.4992,0.38655,0.67085,0.35653,0.55665,0.57239,0.77054,1
0.62781,0.3554,0.44416,0.41721,0.6014,0.38037,0.55775,0.547,0.36436,0.47512,0.6518,0.67174,1
0.5006,0.81637,0.61472,0.67537,0.41721,0.84931,0.53452,0.23719,0.7917,0.61926,0.44626,0.37345,2
0.75227,0.66021,0.39364,0.59069,0.20532,0.74103,0.67734,0.14029,0.5189,0.61567,0.46979,0.6548,1
0.44682,0.48288,0.37973,0.59132,0.33386,0.58068,0.36926,0.28794,0.50542,0.52881,0.58055,0.59078,1
0,0.31458,0.45686,0.62434,0.56079,0.4181,0.06111,0.02949,0.48358,0.37318,0.7489,0.45397,1
0.52972,0.27235,0.35398,0.58171,0.4194,0.38645,0.35491,0.7593,0.44065,0.57324,0.54816,0.69034,2
0.12114,0,0.42995,0.2666,0.82422,0.10988,0,0.72251,0.59766,0.647,0.45174,0.58878,1
0.76442,0.66838,0.44379,0.38172,0.47751,0.62303,0.73196,0.51825,0.78887,0.70433,0.38003,0.40742,1
0.8345,0.40801,0.56811,0.40126,0.78949,0.35992,0.84356,0.2747,0.59721,0.68086,0.40066,0.62495,1
0.57543,0.57835,0.86383,0.63528,0.95828,0.55767,0.58735,0.6352,0.70771,0.76324,0.32392,0.54988,2
0.53929,0.5813,1,0.82773,0.98355,0.64987,0.46325,0.57101,0.77074,0.63746,0.44231,0.42922,1
0.81934,0.67357,0.37468,0.61855,0.24509,0.66442,0.79492,0.62689,0.9758,1,0,0.53006,1
0.90275,0.23657,0.43308,0.35056,0.75484,0.19199,0.86203,0.42234,0.69488,0.70111,0.35522,0.56527,1
0.68956,0.38188,0.53148,0.51649,0.72876,0.34854,0.72464,0.35275,0.81386,0.87428,0.13428,0.64478,2
0.32644,0.55744,0.5145,0.69195,0.47074,0.60206,0.39663,0.17399,0.66283,0.69872,0.3548,0.62136,1
0.70734,1,0.34728,0.57474,0,0.98987,0.72592,0.49946,0,0.33484,0.84261,0.93097,1
0.80281,0.76092,0.29756,0.58674,0.06466,0.80595,0.69373,0.46641,0.389,0.15067,1,0.39935,1
0.86045,0.1572,0.47772,0.37797,0.85084,0.10623,0.87198,0.29966,0.56184,0.52608,0.58211,0.48753,2
0.39781,0.38475,0.39636,0.39406,0.47429,0.48556,0.30743,0.25319,0.75651,0.68973,0.37821,0.48083,1
0.68943,0.53438,0.74012,0.67821,0.78844,0.52752,0.70632,0.4306,0.4189,0.59541,0.50191,0.73443,1
0.63507,0.38044,0.48685,0.6037,0.59086,0.40535,0.57573,0.64364,0.55593,0.63011,0.4657,0.62247,1
0.64199,0.44412,0.39268,0.26068,0.57968,0.42379,0.61387,0.44205,0.57778,0.64746,0.45109,0.60614,2
0.56425,0.5921,0.51618,0.46467,0.56292,0.57713,0.56325,0.5856,0.72764,0.64392,0.44169,0.45769,1
0.65211,0.37449,0.47887,0.42849,0.57577,0.43528,0.56215,0.45251,0.8252,0.76856,0.27003,0.50374,1
0.66195,0.48124,0.35131,0.30545,0.46991,0.47106,0.625,0.45514,0.64216,0.54814,0.54555,0.47676,1
0.80592,0.72031,0.65919,0.78095,0.50017,0.71834,0.83763,0.39795,0.55068,0.57199,0.51179,0.60374,2
0.82181,0.2064,0.60921,0.39957,1,0.15065,0.83143,0.30813,0.35273,0.52651,0.58948,0.7424,1
0.70789,0.47571,0.84629,0.87724,0.85627,0.53323,0.62441,0.53369,0.74246,0.80507,0.25123,0.59106,1
0.54167,0.67868,0.38194,0.51226,0.28654,0.70493,0.48911,0.59228,0.88314,0.70642,0.36078,0.35497,1
0.86231,0.47877,0.37666,0.51941,0.33703,0.53804,0.73371,0.51424,0.75174,0.80674,0.23632,0.59999,2
0.72844,0.50629,0.40862,0.53811,0.42506,0.51513,0.67132,0.627,0.66971,0.61039,0.4938,0.4525,1
0.70789,0.47571,0.84629,0.87724,0.85627,0.53323,0.62441,0.53369,0.74246,0.80507,0.25123,0.59106,1
0.54167,0.67868,0.38194,0.51226,0.28654,0.70493,0.48911,0.59228,0.88314,0.70642,0.36078,0.35497,1
0.86231,0.47877,0.37666,0.51941,0.33703,0.53804,0.73371,0.51424,0.75174,0.80674,0.23632,0.59999,2
0.72844,0.50629,0.40862,0.53811,0.42506,0.51513,0.67132,0.627,0.66971,0.61039,0.4938,0.4525,1
0.79952,0.43809,0.56405,0.66023,0.58115,0.48922,0.65532,0.75163,0.5889,0.45872,0.64437,0.48347,1
0.90795,0.65272,0.41036,0.55877,0.33526,0.6217,0.91896,0.44248,0.73669,0.71881,0.32575,0.54934,1
0.51663,0.47028,0.28842,0.40083,0.32546,0.51932,0.46843,0.30967,0.55433,0.64451,0.44359,0.63824,2
0.6327,0.72091,0.40533,0.60993,0.2165,0.76062,0.6085,0.43628,0.72949,0.61669,0.45691,0.43686,1
0.77913,0.44523,0.5165,0.7828,0.52925,0.47581,0.69116,0.64611,0.5233,0.66428,0.42103,0.72445,1
0.67061,0.32167,0.5137,0.70421,0.61247,0.36045,0.60962,0.58862,0.64518,0.60685,0.48152,0.50627,1
0.51964,0.3815,0.30073,0.37716,0.36376,0.46573,0.39121,0.53917,0.37243,0.27672,0.86257,0.53102,2
0.6014,0.55008,0.32082,0.52486,0.28838,0.56603,0.58026,0.52951,0.50786,0.32594,0.79494,0.42548,1
0.91145,0.73782,0.56485,0.52239,0.50322,0.70599,0.87249,0.45782,0.63976,0.70307,0.37078,0.61414,1
0.6139,0.67632,0.53536,0.69668,0.41905,0.69314,0.58547,0.68099,0.73373,0.65051,0.43376,0.44617,1
0.76592,0.49341,0.08651,0.41542,0.04166,0.52717,0.71217,0.27576,0.73132,0.76899,0.27824,0.58616,2
0.9131,0.33184,0.36667,0.54871,0.49141,0.33032,0.84691,0.4768,0.60053,0.53308,0.56566,0.47934,1
0.52396,0.10829,0.482,0.27543,0.83808,0.15801,0.43991,0.46865,0.49078,0.47606,0.61958,0.6035,1
0.57115,0.43445,0.32178,0.27759,0.49071,0.39092,0.63832,0.40325,0.72193,0.6981,0.36098,0.51185,1
0.66092,0.57294,0.74159,0.82533,0.7215,0.59599,0.62152,0.45085,0.72612,0.46853,0.62676,0.29619,2
0.71178,0.44842,0.63244,0.61549,0.7041,0.48118,0.66252,0.3209,0.51771,0.44565,0.66832,0.48856,1
0.70894,0.86616,0.66736,0.73535,0.4234,0.8812,0.79644,0.43632,0.94009,0.95034,0.19303,0.53962,1
0.67147,0.44797,0.30551,0.37572,0.44018,0.42676,0.64425,0.56608,0.34264,0.57747,0.53313,0.8284,2
0.50112,0.50311,0.538,0.54428,0.56512,0.55282,0.39627,0.6024,1,0.71153,0.37992,0.11199,1
0.64786,0.50282,0.65584,0.66613,0.69871,0.52644,0.52358,0.73518,0.31217,0,1,0,2
0.67452,0.22906,0.21621,0.59832,0.35069,0.30437,0.44817,0.5915,0.53119,0.60907,0.47651,0.72741,1
0.45587,0.38648,0.58879,1,0.49501,0.51584,0.31359,0.45121,0.3944,0.59397,0.49629,0.92722,2
0.5672,0.4994,0.52186,0.55952,0.54112,0.53715,0.49362,0.59086,0.60959,0.46534,0.59559,0.32526,1
0.77065,0.36677,0.42554,0.40008,0.7438,0.22141,1,0,0.66616,0.749,0.35514,0.61467,2
0.75775,0.38489,0.36233,0.31337,0.55724,0.36603,0.66848,0.66348,0.76998,0.60698,0.47353,0.29465,1
0.60619,0.69015,0.42751,0.58283,0.30571,0.71244,0.6677,0.38362,0.88661,1,0.14185,0.78971,2
0.7067,0.52287,0.2638,0.29804,0.37422,0.49247,0.74011,0.24117,0.54513,0.46559,0.60296,0.34545,1
0.64786,0.50282,0.65584,0.66613,0.69871,0.52644,0.52358,0.73518,0.31217,0,1,0,2
0.7067,0.52287,0.2638,0.29804,0.37422,0.49247,0.74011,0.24117,0.54513,0.46559,0.60296,0.34545,1
0.46014,0.68941,0.11284,0.28485,0.04965,0.69197,0.52969,0.434,0.54068,0.55932,0.52171,0.5343,2
0.84957,0.69844,0.50223,0.44896,0.38035,0.75324,0.69413,0.80377,0.82469,0.54006,0.52865,0.13287,1
0.6222,0.44907,0.6185,0.72631,0.62158,0.49193,0.59314,0.36835,0.73526,0.68939,0.40133,0.47202,2
0.84975,0.60594,0.64666,0.46121,0.70061,0.55633,0.91454,0.39629,0.73255,0.75996,0.3513,0.58365,1
0.50862,0.57366,0.33997,0.59853,0.23849,0.6583,0.42926,0.44353,0.68548,0.6506,0.44022,0.50575,2
0.5739,0.37969,0.52712,0.50401,0.68136,0.39605,0.50258,0.41729,0.71454,0.65831,0.4221,0.52236,1
0.82112,0.45887,0.6179,0.41404,0.78822,0.40547,0.85226,0.39773,0.82737,0.72357,0.36809,0.42604,2
0.74344,0.05396,0.46113,0.17049,0.96679,0,0.66392,0.34087,0.76905,0.99619,0.14673,1,1
0.48921,0.63903,0.33411,0.57919,0.14474,0.76972,0.30192,0.72329,0.72201,0.61048,0.47008,0.4727,2
0.41212,0.62821,0.1104,0.38352,0.10558,0.61913,0.42284,0.76208,0.54493,0.62372,0.45776,0.83897,1
0.76892,0.41163,0.49419,0.09888,0.77875,0.34303,0.68989,0.8583,0.61653,0.45817,0.59997,0.33437,2
0.54586,0.24043,0.58967,0.40989,0.82569,0.28013,0.43156,0.37828,0.53592,0.60101,0.4729,0.74894,1
0.7954,0.478,0.41249,0.49513,0.46584,0.49548,0.66948,0.75106,0.42677,0.523,0.56112,0.75593,2
