@relation 'Horse Colic.arff'

@attribute att01 {yes,no}
@attribute att11 {adult,young}
@attribute att21 numeric
@attribute att31 numeric
@attribute att41 numeric
@attribute att51 {normal,warm,cool,cold}
@attribute att61 {normal,increased,reduced,absent}
@attribute att71 {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute att81 {<3,>=3,'meaning unknown'}
@attribute att91 {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute att101 {hypermotile,normal,hypomotile,absent}
@attribute att111 {none,slight,moderate,severe}
@attribute att121 {none,slight,significant}
@attribute att131 {none,>1l,<1l}
@attribute att141 numeric
@attribute att151 {normal,increased,decreased,absent}
@attribute att161 {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute att171 numeric
@attribute att181 numeric
@attribute att191 {clear,cloudy,serosanguinous}
@attribute att201 numeric
@attribute att211 {lived,died,euthanized}
@attribute class {yes,no}

@data
yes,adult,0.78654,0.27273,0.25,cold,reduced,'pale pink',>=3,'intermittent mild pain',hypomotile,moderate,slight,none,0.07212,decreased,'distended large intestine',0.5493,0.04317,cloudy,0.38,lived,yes
yes,adult,0.74384,0.11688,0.04545,cool,normal,'normal pink',<3,'alert no pain',hypomotile,slight,none,none,0,normal,'firm feces in large intestine',0.46479,0.02567,cloudy,0.12,lived,no
yes,adult,0.43803,0.19013,0.15592,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,0,normal,normal,0.49228,0.25543,clear,0.08176,died,no
no,adult,0.73531,0.11688,0.15592,warm,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,0,normal,normal,0.57746,0.84831,clear,0.08176,lived,no
no,adult,0.73531,0.42857,0.25,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,>1l,0.43255,absent,'distended large intestine',0.87324,0.04901,serosanguinous,0.10522,died,yes
no,adult,0.69261,0.50649,0.04545,cool,reduced,'pale cyanotic',>=3,depressed,absent,slight,slight,<1l,0.68475,decreased,'firm feces in large intestine',0.67606,0.05718,serosanguinous,0.73,euthanized,yes
yes,adult,0.69261,0.19481,0.20841,warm,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.5493,0.03851,serosanguinous,0.10522,lived,yes
yes,adult,0.778,0.22078,0.22727,normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,moderate,slight,none,0.07212,absent,'distended small intestine',0.6338,0.06184,cloudy,0.65,lived,yes
yes,adult,0,0.45455,0.25,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,<1l,0.07212,absent,'distended small intestine',0.67606,0.03851,serosanguinous,0.10522,lived,yes
no,adult,0,0.48052,0.18182,cold,reduced,'pale pink',>=3,'intermittent severe pain',absent,moderate,slight,<1l,0.07212,absent,other,0.97183,0.05951,serosanguinous,0.10522,euthanized,yes
no,adult,0.78654,0.53247,0.09091,normal,reduced,'bright red',>=3,'alert no pain',hypomotile,none,none,>1l,0,normal,'distended large intestine',0.66197,0.03151,cloudy,0.09,euthanized,no
yes,adult,0.74384,0.27273,0.20841,cool,reduced,'pale pink',<3,'continuous severe pain',hypomotile,none,slight,none,0.07212,normal,normal,0.73239,0.89498,clear,0.19,lived,yes
no,adult,0.81215,0.14286,0.15592,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,none,0,normal,'firm feces in large intestine',0.39437,0.03851,clear,0.49,lived,no
yes,young,0.86338,0.75325,1,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.53952,0.1941,serosanguinous,0.10522,died,yes
yes,adult,0,0.37662,0.20841,cool,reduced,'dark cyanotic',>=3,'continuous severe pain',hypomotile,moderate,none,<1l,0.07212,absent,'distended large intestine',0.83099,0.03734,serosanguinous,0.10522,died,yes
no,young,0.84631,0.77922,0.72727,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.60563,0.06068,serosanguinous,0,lived,yes
no,adult,0.76092,0.19481,0.04545,cool,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,none,none,0,increased,other,0.60563,0.04317,clear,0.08176,lived,no
yes,adult,0,0.58442,0.20841,cool,absent,'pale cyanotic',<3,'intermittent severe pain',absent,severe,none,none,0.07212,absent,'distended large intestine',0.67606,0.74329,cloudy,0.19,euthanized,yes
yes,adult,0.53892,0.71429,0.18182,cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,moderate,slight,none,0.07212,absent,'distended large intestine',0.74648,0.76663,serosanguinous,0.19,euthanized,yes
no,adult,0,0.58442,0.20841,cold,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,0.07212,absent,'distended large intestine',0.78873,0.03734,serosanguinous,0.10522,died,yes
yes,adult,0.75238,0.19481,0.07955,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,slight,>1l,0.07212,absent,'distended large intestine',0.85915,0.04901,serosanguinous,0.10522,lived,yes
no,adult,0.71823,0.11688,0.09091,normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,0,normal,normal,0.46479,0.03734,clear,0.08176,lived,no
yes,adult,0.83777,0.32468,0.40909,cool,reduced,'pale pink',>=3,depressed,hypomotile,moderate,slight,>1l,0.81085,decreased,normal,0.70423,0.03734,serosanguinous,0.10522,died,yes
no,adult,0.69261,0.35065,0.45455,cool,reduced,'bright red',>=3,'intermittent severe pain',hypermotile,slight,none,>1l,0,increased,normal,0.97183,0.02567,cloudy,0.4,died,no
no,adult,0.81215,0.1039,0.15592,normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,none,none,0,normal,other,0.6338,0.06768,clear,0.15,lived,no
yes,adult,0.70969,0.35065,0.31818,normal,reduced,'pale pink',>=3,'intermittent mild pain',hypomotile,slight,slight,none,0.07212,absent,'distended large intestine',0.53952,0.1941,serosanguinous,0.10522,died,yes
no,adult,0.43803,0.19013,0.15592,normal,normal,'pale pink',<3,'alert no pain',hypomotile,none,slight,none,0,increased,other,0.5493,0.05134,clear,0.08176,lived,no
no,adult,0.81215,0.06494,0.13636,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,0,normal,normal,0.52113,0.03617,clear,0.08176,lived,no
no,adult,0.95731,0.54545,0.31818,cool,reduced,'normal pink',>=3,depressed,hypomotile,moderate,slight,none,0.81085,normal,'distended large intestine',0.74648,0.05601,serosanguinous,0.44,euthanized,yes
yes,young,0.81215,0.84416,0.13636,cool,reduced,'bright red',<3,'intermittent mild pain',hypomotile,severe,significant,none,0.07212,absent,'distended large intestine',0.47887,0.1941,cloudy,0.10522,died,yes
yes,adult,0,0.25686,0.20841,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.28169,0.03967,serosanguinous,0.10522,lived,yes
yes,adult,0,0.22078,0.31818,warm,reduced,'bright pink',<3,'continuous severe pain',hypomotile,moderate,slight,>1l,0.07212,absent,'distended large intestine',0.53521,0.05134,serosanguinous,0.10522,died,yes
yes,adult,0,0.25686,0.13636,cold,reduced,'pale pink',<3,'continuous severe pain',absent,moderate,slight,none,0.07212,absent,'distended small intestine',0.69014,0.03034,serosanguinous,0.10522,died,yes
no,adult,0,0.42857,0.20841,cool,reduced,'pale pink',>=3,'continuous severe pain',absent,severe,none,>1l,0.07212,absent,'distended large intestine',0.78873,0.1941,serosanguinous,0.10522,died,yes
no,adult,0.74384,0.11688,0.27273,normal,normal,'pale pink',<3,depressed,hypermotile,none,none,none,0,absent,'distended large intestine',0.46479,0.03967,clear,0.08176,lived,no
no,adult,0.80361,0.19481,0.15592,warm,increased,'normal pink',<3,'alert no pain',normal,slight,slight,none,0,normal,normal,0.56338,0.05134,clear,0.08176,lived,no
yes,adult,0.74384,0.37662,0.15909,warm,normal,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.84507,0.05484,clear,0.59,died,yes
no,adult,0.778,0.64935,0.09091,cold,reduced,'pale cyanotic',>=3,depressed,absent,severe,none,none,0,normal,normal,0.85915,0.91832,cloudy,0.19,euthanized,no
yes,adult,0.84631,0.22078,0.31818,cool,normal,'pale cyanotic',>=3,'intermittent mild pain',hypomotile,slight,none,>1l,0.81085,absent,'distended large intestine',0.56338,0.04901,serosanguinous,0.49,lived,yes
yes,adult,0,0.19481,0.31818,cool,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,none,none,0.07212,decreased,'distended small intestine',0.30986,0.80163,cloudy,0.09,lived,yes
no,adult,0.75238,0.27273,0.20841,normal,normal,'bright red',>=3,'intermittent mild pain',hypomotile,none,none,<1l,0.18034,decreased,'distended small intestine',0.76056,0.82497,clear,0.19,lived,yes
no,adult,0.79508,0.15584,0.18182,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,0,decreased,other,0.6338,0.04551,clear,0.08176,lived,no
no,adult,0.43803,0.14286,0.09091,normal,normal,'pale pink',<3,'alert no pain',hypomotile,none,slight,<1l,0.6217,normal,normal,0.71831,0.04551,clear,0.08176,lived,no
no,adult,0.76092,0.11688,0.04545,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,none,none,0,decreased,other,0.53521,0.03501,cloudy,0.4,lived,no
no,adult,0.67554,0.19481,0.13636,cool,reduced,'pale pink',<3,'intermittent mild pain',hypomotile,moderate,slight,>1l,0.4956,absent,'distended small intestine',0.5493,0.05018,serosanguinous,0.10522,euthanized,yes
yes,adult,0.74384,0.11688,0.22727,normal,normal,'normal pink',<3,'alert no pain',normal,none,slight,none,0,normal,normal,0.59155,0.03034,cloudy,0.69,lived,no
yes,adult,0.73531,0.16883,0.20841,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.53952,0.1941,serosanguinous,0.10522,died,yes
yes,adult,0.76946,0.14286,0.18182,normal,normal,'bright red',<3,'intermittent severe pain',hypomotile,none,slight,<1l,0.81085,normal,'distended large intestine',0.70423,0.04901,cloudy,0.25,died,yes
yes,young,0,0.25686,0.20841,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.46479,0.01867,serosanguinous,0.10522,died,yes
yes,young,0.90608,0.45455,0.20841,cool,reduced,'bright red',>=3,depressed,hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.61972,0.6266,cloudy,0.19,euthanized,yes
yes,adult,0.72677,0.05195,0.13636,cool,reduced,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,none,0.07212,decreased,'distended large intestine',0.46479,0.75496,serosanguinous,0.10522,lived,yes
no,adult,0.82069,0.14286,0.13636,warm,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,0,normal,normal,0.40845,0.85998,clear,0.08176,lived,no
yes,adult,0,0.25686,0.20841,cool,reduced,'pale pink','meaning unknown','continuous severe pain',hypomotile,moderate,significant,>1l,0.07212,absent,'distended large intestine',0.59155,0.03034,serosanguinous,0.10522,died,yes
yes,adult,0.71823,0.42857,0.11364,normal,reduced,'dark cyanotic',>=3,'intermittent mild pain',absent,slight,slight,<1l,0.55865,absent,'distended small intestine',0.91549,0.06534,serosanguinous,0.10522,lived,yes
yes,adult,0.62431,0.44156,0.30682,cool,reduced,'pale cyanotic',<3,'intermittent severe pain',hypomotile,slight,slight,none,0.07212,absent,'distended small intestine',0.60563,0.03617,serosanguinous,0.35,died,yes
yes,adult,0.70115,0.06494,0.20841,cool,reduced,'normal pink',<3,depressed,hypomotile,slight,significant,none,0.07212,decreased,'distended large intestine',0.4507,0.1941,serosanguinous,0.19,lived,yes
yes,young,0.76946,0.45455,0.81818,cool,normal,'bright pink',<3,'intermittent mild pain',absent,none,slight,none,0.07212,normal,'distended large intestine',0.4507,0.028,serosanguinous,0.10522,lived,yes
yes,adult,0.76092,0.25686,0.18182,cool,reduced,'dark cyanotic',>=3,'continuous severe pain',hypomotile,severe,none,none,0.07212,absent,'distended large intestine',0.90141,0.05251,serosanguinous,0.10522,died,yes
yes,adult,0.74384,0.19481,0.81818,normal,reduced,'bright pink',>=3,depressed,hypomotile,moderate,slight,>1l,0.6217,absent,'distended large intestine',0.50704,0.014,cloudy,0.10522,lived,yes
no,adult,0.76092,0.15584,0.25,warm,reduced,'pale pink','meaning unknown','intermittent mild pain',hypermotile,slight,slight,>1l,0,normal,'distended small intestine',0.57746,0.03384,clear,0.08176,lived,no
yes,adult,0,0.37662,0.36364,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,moderate,significant,none,0.07212,absent,'distended large intestine',0.64789,0.05134,serosanguinous,0.13,died,yes
no,adult,0,0.06494,0.09091,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.64789,0.04317,cloudy,0.38,euthanized,yes
no,adult,0.84631,0.22078,0.36364,normal,normal,'bright red',<3,'intermittent mild pain',hypomotile,slight,slight,none,0,decreased,'firm feces in large intestine',0.53521,0.04901,cloudy,0.22,lived,no
no,adult,0.78654,0.07792,0.02273,normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,slight,none,0,normal,normal,0.47887,0.67328,clear,0.08176,lived,no
no,adult,0.76092,0.14286,0.09091,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,<1l,0.05424,normal,normal,0.69014,0.96499,serosanguinous,0.10522,lived,yes
no,adult,0.95731,0.54545,0.31818,cool,reduced,'normal pink',>=3,depressed,hypomotile,moderate,slight,none,0.81085,normal,'distended large intestine',0.74648,0.05601,serosanguinous,0.44,died,yes
no,adult,0.82923,0.12987,0.13636,cool,normal,'normal pink',<3,'alert no pain',hypermotile,none,slight,none,0,decreased,normal,0.53521,0.03384,clear,0.08176,lived,no
no,adult,0,0.25686,0.20841,cool,reduced,'normal pink',<3,'continuous severe pain',hypomotile,moderate,none,none,0.07212,absent,'distended large intestine',0.47887,0.03734,serosanguinous,0.10522,died,yes
no,adult,0.71823,0.11688,0.25,cold,normal,'pale pink',<3,'alert no pain',normal,none,none,none,0,normal,normal,0.61972,0.06184,clear,0.08176,lived,no
yes,adult,0.70115,0.11688,0.13636,cool,normal,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,0.07212,decreased,'distended large intestine',0.52113,0.76663,serosanguinous,0.10522,lived,yes
no,adult,0,0.35065,0.31818,cool,reduced,'pale pink',<3,depressed,hypomotile,none,slight,none,0.07212,decreased,other,0.56338,0.06068,serosanguinous,0.10522,lived,yes
yes,adult,0.76946,0.37662,0.27273,cool,reduced,'pale cyanotic',<3,depressed,hypomotile,moderate,slight,<1l,0.05424,absent,'distended large intestine',0.71831,0.66161,clear,0.08176,euthanized,no
no,adult,0.73531,0.09091,0.36364,warm,normal,'pale pink',<3,'alert no pain',hypomotile,slight,none,none,0,normal,'distended large intestine',0.52113,0.66161,clear,0.08176,lived,no
no,adult,0.89754,0.50649,0.48864,cool,reduced,'dark cyanotic',>=3,depressed,absent,moderate,none,>1l,0,decreased,'distended large intestine',0.77465,0.05484,cloudy,0.25,lived,no
yes,adult,0.778,0.06494,0.09091,cool,reduced,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,0,normal,normal,0.42254,0.73162,clear,0.08176,lived,no
yes,adult,0,0.19481,0.13636,cold,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,moderate,slight,none,0.07212,absent,'distended large intestine',0.53952,0.1941,serosanguinous,0.10522,euthanized,yes
no,adult,0.78654,0.06494,0.09091,cool,normal,'normal pink',<3,depressed,hypomotile,none,slight,none,0,normal,normal,0.46479,0.6266,clear,0.08176,lived,no
yes,young,0.76092,0.71429,0.68182,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,none,0.07212,increased,normal,0.49296,0.02334,serosanguinous,0.10522,lived,yes
yes,adult,0.74384,0.14286,0.18182,normal,reduced,'pale pink',<3,'intermittent severe pain',absent,none,slight,<1l,0.64692,increased,'distended large intestine',0.61972,0.03851,clear,0.36,died,yes
yes,adult,0,0.25974,0.31818,normal,reduced,'pale pink',>=3,depressed,hypomotile,slight,slight,none,0.07212,absent,'distended large intestine',0.4507,0.04667,serosanguinous,0.10522,lived,yes
yes,adult,0.78654,0.14286,1,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,none,none,0.07212,normal,'distended large intestine',0.5493,0.03267,serosanguinous,0.10522,lived,yes
no,adult,0.70115,0.12987,0.27273,normal,normal,'pale pink',<3,'alert no pain',hypomotile,slight,slight,none,0,normal,normal,0.56338,0.04317,clear,0.08176,lived,no
yes,adult,0.82069,0.19481,0.27273,cold,reduced,'bright pink',>=3,'intermittent severe pain',absent,severe,slight,none,0.07212,absent,'distended large intestine',0.69014,0.70828,serosanguinous,0.19,euthanized,yes
yes,young,0.79508,0.35065,0.36364,cool,reduced,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,none,none,0.07212,absent,'distended large intestine',0.4507,0.03851,cloudy,0.27,died,yes
yes,adult,0,0.25974,0.09091,cool,absent,'bright red',>=3,depressed,hypomotile,slight,slight,none,0.07212,absent,'distended large intestine',0.78873,0.04901,serosanguinous,0.10522,died,yes
yes,adult,0.78654,0.06494,0.09091,cool,reduced,'pale pink',<3,'alert no pain',hypomotile,slight,slight,none,0.07212,absent,'distended large intestine',0.47887,0.63827,clear,0.19,lived,yes
yes,adult,0,0.06494,0.20841,warm,normal,'normal pink',<3,'alert no pain',hypomotile,none,none,none,0.07212,absent,'distended large intestine',0.49296,0.61494,serosanguinous,0.10522,lived,yes
yes,adult,0.65846,0.19481,0.22727,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.53952,0.1941,serosanguinous,0.99,died,yes
yes,adult,0.79508,0.09091,0.18182,cool,reduced,'pale cyanotic',<3,'continuous severe pain',absent,moderate,slight,none,0.07212,absent,'distended large intestine',0.64789,0.85998,serosanguinous,0.10522,lived,yes
no,adult,0.43803,0.19013,0.36364,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,none,0,normal,normal,0.57746,0.7783,clear,0.08176,lived,no
yes,adult,0.76092,0.09091,0.04545,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.53521,0.71995,serosanguinous,0.10522,lived,yes
no,adult,0.889,0.25686,0.20841,cool,reduced,'pale cyanotic',>=3,'intermittent mild pain',absent,moderate,slight,<1l,0.6217,absent,'distended large intestine',0.53952,0.03967,clear,0.10522,euthanized,yes
yes,adult,0.63284,0.31169,0.25,normal,reduced,'normal pink',<3,'continuous severe pain',hypomotile,none,slight,none,0.07212,absent,'distended large intestine',0.42254,0.83664,cloudy,0.09,lived,yes
no,adult,0.76946,0.16883,0.13636,warm,normal,'bright pink',<3,'alert no pain',hypomotile,none,none,none,0,normal,normal,0.59155,0.7783,clear,0.08176,lived,no
yes,adult,0.88046,0.15584,0.65909,normal,normal,'bright pink',<3,depressed,hypomotile,slight,none,none,0.07212,decreased,'distended small intestine',0.49296,0.03151,cloudy,0.10522,lived,yes
yes,adult,0.78654,0.32468,0.36364,cool,reduced,'dark cyanotic',>=3,'intermittent severe pain',hypomotile,none,slight,>1l,0.07212,normal,'distended small intestine',0.88732,0.08051,cloudy,0.09,euthanized,yes
no,adult,0.82069,0.06494,0.22727,warm,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,slight,none,0,normal,normal,0.49296,0.68495,clear,0.09,lived,no
yes,adult,0.778,0.22078,0.18182,normal,normal,'pale pink',<3,'intermittent severe pain',absent,moderate,slight,none,0.07212,absent,'distended small intestine',0.57746,0.04901,clear,0.19,died,yes
no,adult,0.72677,0.11688,0.13636,cool,normal,'pale cyanotic',<3,'alert no pain',hypermotile,moderate,slight,none,0.07212,normal,normal,0.46479,0.02567,serosanguinous,0.10522,euthanized,yes
yes,adult,0.76092,0.07792,0.68182,cold,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,>1l,0.07212,absent,'distended small intestine',0.52113,0.05018,serosanguinous,0.10522,lived,yes
yes,adult,0.82069,0.25686,0.20841,cool,normal,'pale pink',<3,'continuous severe pain',absent,slight,slight,none,0.07212,absent,'distended large intestine',0.40845,0.03734,cloudy,0.10522,lived,yes
yes,adult,0.70969,0.12987,0.27273,cool,reduced,'pale pink',<3,'intermittent severe pain',absent,none,slight,none,0.07212,normal,'distended large intestine',0.57746,0.05368,cloudy,0.09,lived,yes
yes,adult,0.70969,0.35065,0.13636,normal,normal,'pale pink',<3,depressed,hypomotile,moderate,slight,none,0,normal,normal,0.38028,0.67328,clear,0.09,euthanized,no
yes,adult,0.79508,0.12338,0.20841,cool,reduced,'normal pink',<3,depressed,hypomotile,none,slight,none,0.07212,absent,'distended large intestine',0.56338,0.05018,serosanguinous,0.10522,lived,yes
yes,adult,0.74384,0,0.04545,cool,reduced,'pale pink',<3,depressed,hypomotile,moderate,slight,none,0.07212,absent,'distended large intestine',0.53952,0.1941,serosanguinous,0.10522,died,yes
no,adult,0.72677,0.37662,0.31818,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,<1l,0.11729,absent,'distended large intestine',0.56338,0.03151,serosanguinous,0.10522,died,yes
yes,adult,0.76092,0.11688,0.13636,cool,normal,'pale pink',<3,'intermittent severe pain',hypomotile,none,slight,none,0.07212,decreased,'distended large intestine',0.5493,0.8133,cloudy,0.09,lived,yes
no,adult,0.75238,0.06494,0.18182,normal,normal,'normal pink',<3,depressed,hypomotile,none,slight,none,0.07212,absent,'firm feces in large intestine',0.50704,0.028,serosanguinous,0.10522,lived,yes
